patient with urinary tract infection|urine
soft tissue|skin
commercial dietary supplements|other
cystic fibrosis patient|unknown
blood from patient with bacteremia|blood
abscess|unknown
culture|unknown
healthy adult 3c|unknown
groin|skin
farm workers|unknown
clinical sample from patient with gastroenteritis|gastrointestinal
infection|unknown
cerebro-spinal fluid|other
patient sample|unknown
lavage fluid|unknown
urethral swab|urine
laboratory strain|unknown
middle ear|other
trachea|respiratory
rectal swab from healthy college student|gastrointestinal
lesion swab|skin
body fluid|unknown
gastric tissue biopsy|gastrointestinal
patient fluids|unknown
bronchoalveolar lavage fluid|respiratory
wound/abscess|skin
perineum swab|female reproductive tract
neck/axilla|skin
blood stream|blood
pharyngeal mucosa|respiratory
bacteremia|blood
anal swab|gastrointestinal
hospital patient|unknown
plaque|oral
sputum of adult cystic fibrosis patient|respiratory
clinical material|unknown
fecal swab|gastrointestinal
midstream urine|urine
urine culture|urine
raw chicken meat|non-human
sepsis|unknown
fluid|unknown
tip|unknown
nasopharyngeal swabs|respiratory
cystic fibrosis sputum|respiratory
nasophraynx|respiratory
abdomen|other
tuberculosis patient|unknown
respiratory sample|respiratory
swab|unknown
sputum induced|respiratory
gastric antrum|gastrointestinal
tissues|other
stool from individual ak|gastrointestinal
bronchoaspiration material|respiratory
normally sterile site|unknown
drainage|other
lymph node|other
homo sapiens|unknown
bronchial aspirate|respiratory
trach asp|respiratory
icu|unknown
secretion|unknown
abdominal|gastrointestinal
laboratory reference strain|unknown
pharyngeal swab|respiratory
miscellaneous body fluid|other
tongue scraping|oral
vaginal secretion|female reproductive tract
diarrheal patient|gastrointestinal
oropharinx|oral
laboratory|unknown
ocular|other
infant|unknown
nasal lavage|respiratory
airway secretion|respiratory
placenta|female reproductive tract
stool from neonate|gastrointestinal
broncho-alveolar lavage|respiratory
other (unknown)|unknown
bronchial|respiratory
colon biopsy|gastrointestinal
skin and soft tissue|skin
antrum, stomach|gastrointestinal
nps|unknown
various material|unknown
nose swab|respiratory
stool samples|gastrointestinal
carriage sample|unknown
scarlet fever|unknown
university hospital of abidjan-cocody|unknown
cf sputum|respiratory
stool from individual t|gastrointestinal
reactal swab|gastrointestinal
abdominal abscess|gastrointestinal
throat culture|respiratory
invasive|unknown
catheter tip|urine
Feces|gastrointestinal
central venous catheter|blood
patient sputum|respiratory
tongue|oral
gastric biopsy tissue|gastrointestinal
sputum (induced)|respiratory
urine cath|urine
sputum of child cystic fibrosis patient|respiratory
leg wound|skin
prostatic tissue|female reproductive tract
subgingival plaque biofilm|oral
nasal cavity|respiratory
skin-ad site|skin
amniotic fluid|female reproductive tract
kidney preservation fluid|other
allergyflora birth-cohort|unknown
mid-vaginal wall|female reproductive tract
tracheal aspiration|respiratory
stomach biopsy|gastrointestinal
post surgical secretion|other
hemoculture|blood
diarrhea|gastrointestinal
biological fluid|unknown
fecal samples|gastrointestinal
urogenital tract|female reproductive tract
diarrhoeal stool|gastrointestinal
abdominal wound|skin
penile|male reproductive tract
joint fluid|other
perineum|skin
peritoneal dialysis fluid|other
gall bladder|gastrointestinal
bronchial secretions|respiratory
spinal fluid|other
axilla|skin
stools|gastrointestinal
ulcer|skin
blood sample taken from a clinical pediatric case of invasive pneumococcal disease|blood
bronchial fluid|respiratory
infant stool|gastrointestinal
bei isolate|unknown
urinary tract infection|urine
unspecified|unknown
lungs of cystic fibrosis patient a|respiratory
alar crease|skin
nare|respiratory
ear swab|other
tracheobronchial aspirate|respiratory
skin infection|skin
purulent sample|unknown
cutaneous ulcer|skin
sinus|respiratory
expectorated sputum|respiratory
patient's blood plasma|blood
supragingival plaque biofilm of a molar|oral
np swab|unknown
bronchial secretion|respiratory
university of michigan health system|unknown
leg ulcer|skin
stool culture|gastrointestinal
umbilicus|skin
gastric corpus|gastrointestinal
blood sample|blood
subacute bacterial endocarditis|blood
adult feces|gastrointestinal
orthopedic joint implant|other
stool from individual ap|gastrointestinal
hospital, patient|unknown
female behind the ears|skin
throat (pharynx)|respiratory
mouth|oral
intestine of patients with crohn's disease|gastrointestinal
sterile tissue|unknown
clinical: human (homo sapiens)|unknown
bronchial wash|respiratory
endo-cervical swab|female reproductive tract
gastric biopsies|gastrointestinal
pooled pig fecal samples collected from floor of farm|non-human
perirectal swab|skin
endotracheal aspiration|respiratory
oral swab|oral
peritoneal dialysis catheter|peritoneal
urine cathether|urine
breast milk|other
gastric antrum biopsy|gastrointestinal
urine catheter|urine
cornea|other
joint of pelvis|other
periodontal pocket|oral
livestock farm|non-human
abscess l neck|skin
throat and nasal swab|respiratory
associated infection|unknown
corneal scraping|other
wound vulva|female reproductive tract
vaginal fluid|female reproductive tract
stool sample from 52 year old healthy male|gastrointestinal
urinary tract of patient suffering from type-2 diabetes|urine
-|unknown
cerebrospinal fluid (csf)|other
intra-abdominal|other
hand|skin
feces from healthy individual|gastrointestinal
carriage|unknown
skin ulcer|skin
abscess facial|skin
endotracheal tube (ett) or tracheostomy tube|respiratory
punctuat|unknown
intestinal cancer|gastrointestinal
liver abscess|other
lungs of cystic fibrosis patient c|respiratory
wound labia|skin
supragingival plaque isolated from 88 juvenile twins|oral
tissies l great toe|skin
gastric biopsies, stomach mucosa|gastrointestinal
duodenal mucosa of celiac disease patient|gastrointestinal
tracheal secretions|respiratory
wound scalp|skin
stool specimen from a guillain-barre syndrome patient|gastrointestinal
na|unknown
urogenital tract, vaginal|female reproductive tract
nebraska|unknown
blood sample of individual with bacteremia|blood
gingival crevice|oral
abscess hepatic|other
human, stool|gastrointestinal
bronch wash|respiratory
retroauricular crease|skin
sputum culture|respiratory
nasopharyngeal|respiratory
burn|skin
soil|non-human
pleural liquid|respiratory
pus aspirate|skin
foot wound|skin
cystic fibrosis lung|respiratory
non-icu|unknown
bronchial aspiration|respiratory
broviac blood|blood
urine clean catch|urine
anal|gastrointestinal
endobronchial tube|respiratory
stool from individual aq|gastrointestinal
routine screen|unknown
genital smear|unknown
normal skin of the right arm|skin
wound right shoulder humeral stem explant|skin
gluteal crease|skin
skin lesions|skin
duodenum|gastrointestinal
perianal swab|skin
upper respiratory tract|respiratory
plaque (caries +)|oral
finger|skin
catheter from newborn|blood
finger abcess|skin
nasobronchial lavage|respiratory
uti|urine
middle meatus|respiratory
gastric mucosa|gastrointestinal
foot|skin
diarrheal stool|gastrointestinal
bone marrow|other
diarrhoea|gastrointestinal
catheter urine|urine
semen|female reproductive tract
mid-vagina|female reproductive tract
stool sample from patient with hemolytic uremic syndrome (hus)|gastrointestinal
blood sample from neonates|blood
respiratory track|respiratory
Urine|urine
other (pus)|skin
exudate from ulcer|skin
unavailable|unknown
pooled sheep fecal samples collected from floor of farm|non-human
wound right foot|skin
lung biopsy|respiratory
host tissue|other
subgingival plaque of oral cavity|oral
ileostomy effluent evening sample obtained from a 79 year-old male ileostomist plated on mitis-salivarius agar|gastrointestinal
not available: not collected|unknown
broncoalveolar lavage|respiratory
sputum from cystic fibrosis patient|respiratory
gastric sample|gastrointestinal
hamstring|skin
human_physical|unknown
root canal|oral
patients with intra-amniotic infection and premature labor|female reproductive tract
lahore|unknown
foot ulcer|skin
stool, gi tract|gastrointestinal
abdominal infection|gastrointestinal
abscess r leg|skin
supragingival dental plaque|oral
wound r breast|skin
supragingival dental plaque, molar tooth|oral
patient ulcer|skin
blood l hand|blood
jejunal aspirate|gastrointestinal
cervicovaginal lavage|female reproductive tract
lung tissue|respiratory
other (bile)|other
other (catheter)|other
other (sputum)|respiratory
expectoration|respiratory
severe trauma site|skin
trach|respiratory
venous blood|blood
blood, nos|blood
aspirate abdominal|gastrointestinal
subgingival plaque, gingival sulcus|oral
other (drainage)|other
wound r ear|other
oral cavity - mouth|oral
sputum from cystic fibrosis patients|respiratory
wound orbital apex|other
ulcerative colitis patient gut tissue biopsy|gastrointestinal
abscess abdominal|gastrointestinal
ocular cornea|other
subgingival plaque, from a periodontal pocket at least 6mm deep|oral
respiratory secretions|respiratory
tissue l great toe|skin
plaque (carries -)|oral
conjunctivitis|other
toe wound|skin
patient blood|blood
vaginal sample|female reproductive tract
lungs of cystic fibrosis patient b|respiratory
abscess pelvic|other
adult male sputum|respiratory
subgingival plaque, periodontal pocket|oral
bone misc|other
et secretion|other
surgical intestinal biopsy|gastrointestinal
nasopharynx from a pediatric patient|respiratory
oral swab from a patient with crohn's disease|oral
tissue r heel|skin
female nares|nasal.
abscess l hip|skin
skin lesion|skin
aspirate l hip|unknown
wound r groin|skin
human sample|unknown
dammam|unknown
stool sample from 84 year old male with stage 3 colorectal cancer|gastrointestinal
crohn's disease patient gut tissue biopsy|gastrointestinal
draining liquid of kidney transplantation recipient|urine
tissue isolate|unknown
hip|skin
feaces|gastrointestinal
transtracheal aspiration|respiratory
abdominal drainage|gastrointestinal
oropharynx, sputum, or bronchoalveolar lavage|respiratory
other (tube)|unknown
vaginal tract|female reproductive tract
tracheal|respiratory
infant faeces|gastrointestinal
sputum specimen|respiratory
dog bite|skin
gastrointestinal|gastrointestinal
liver abscess puncture fluid|other
vsk|unknown
dentine caries|oral
bloodstream infection|blood
warwound (surv)|skin
other|other
respiratory secretion|respiratory
urine from individual 252|urine
fecal sample of diarrhea patient|gastrointestinal
preterm infant faecal sample|gastrointestinal
stool sample from patient|gastrointestinal
other (cvc)|other
bile (fluid)|gastrointestinal
implant-asscoiated infection|other
leg|skin
bronchoalveolar lava|respiratory
bronchial lavage|respiratory
colon|gastrointestinal
blood from melioidosis patient|blood
stool from individual k|gastrointestinal
skin lesion swab|skin
adult male urine|urine
blood sample from a 69 year old man who was hospitalized in icu|blood
urine specimens|urine
clinical sample: urine|urine
liquor|other
puncture fluid|other
skin, soft tissue and pneumonia|skin
general eye|other
vaginal discharge|female reproductive tract
healthy infant fecal samples|gastrointestinal
ocular swab|other
pus from dental abscess|oral
joint aspirate|other
bacteraemia patient|blood
pig farm|non-human
throat of cystic fibrosis patient|respiratory
infant saliva|oral
sputum from endotrachea|respiratory
broncoscopy|respiratory
skin of human|skin
wound drainage fluid|skin
stool sample from 53 year old healthy female|gastrointestinal
physical|unknown
bone tissue|other
human-sporadic|unknown
biological sample|unknown
healthy skin|skin
urethral discharge|urine
oral cavity, infant (15 months age)|oral
human with diarrhea assosiated with seafood cunsumption, hospital general|gastrointestinal
ett secretion|respiratory
drainage basin water|other
cerebral spinal fluid|other
blood sample from a 51 year old man who was hospitalized in icu|blood
trachea aspirate|respiratory
npa|unknown
urine/genitourinary|urine
cyst gastrointestinal|gastrointestinal
surveillance swab|unknown
united kingdom|unknown
balf|other
arsenic-impacted human gut samples taken from 10 individuals over 4 consecutive days|gastrointestinal
abscess right neck|skin
miscellaneous vagina|female reproductive tract
axillary smear|skin
blood/urine|other
catheter liquid|urine
human faecal sample|gastrointestinal
other (oth)|other
gastric fluid|gastrointestinal
pooled cattle fecal samples collected from floor of farm|non-human
respiratory specimen|respiratory
wound right cheek|skin
n/c|unknown
ur cvs|respiratory
wound - abdominal|skin
gland|other
gi tract|gastrointestinal
wounds|skin
feces from infant with necii|gastrointestinal
secreta|other
pleural effusion|respiratory
cerebrospinal fluid (meningitis)|other
lymph galnd|other
secretions|unknown
wound exudate of bone fracture from a chinese 76-year-old male|skin
non cystic fibrosis|unknown
pre-flight (to international space station) astronaut skin swab|skin
deep tracheal aspirates|respiratory
sputum of cystic fibrosis patient|respiratory
sputum of adult bronchiectasis patient|respiratory
westmead hospital|unknown
sputum sample from hospital patient|respiratory
septic arthritis|joint
soft tissue infection of skin|skin
tracheal aspirate from an icu patient|respiratory
wound fluid from a diabetic patient|skin
sputum sample from patient|respiratory
corpus, stomach|gastrointestinal
child cystic fibrosis patient|unknown
toe web|skin
feces from hp_003|gastrointestinal
hairmyres hospital|unknown
oral lichen planus biopsy from patient|oral
sepsis (no localising source)|unknown
skin sore|skin
oropharyngeal swab|oral
plaque (caries -)|oral
manubrium|other
plantar heel|skin
decubitus ulcer|skin
blood,aneurysm tissue|blood
glabella|skin
sputum sample from a patient with lung infection|respiratory
sputum sample from patient with lung infection|respiratory
fatal septicaemia and septic arthritis in a 16-month-old american-indian girl who had no risk factors associated with health care|blood
child - hospital pneumology ward|respiratory
hypothenar palm|skin
tissue right shoulder glenoid|skin
swab from patient with pharyngitis/tonsilitis|respiratory
bronchoscopy|respiratory
vaginal swab sample from woman with bacterial vaginosis|female reproductive tract
blood culture from bacteremic patient|blood
tissue right shoulder glenoid membrane|skin
