species_name,VMGC_species_code,cluster_level,VMGC_pangenome_size,num_genomes
Acinetobacter baumannii,619896,75,4559,5
Acinetobacter baumannii,619896,80,4592,5
Acinetobacter baumannii,619896,85,4635,5
Acinetobacter baumannii,619896,90,4691,5
Acinetobacter baumannii,619896,95,4939,5
Acinetobacter baumannii,619896,99,7549,5
Actinobaculum massiliense,629828,75,1875,5
Actinobaculum massiliense,629828,80,1880,5
Actinobaculum massiliense,629828,85,1884,5
Actinobaculum massiliense,629828,90,1886,5
Actinobaculum massiliense,629828,95,1889,5
Actinobaculum massiliense,629828,99,1899,5
Actinotignum sanguinis,858790,75,1984,5
Actinotignum sanguinis,858790,80,2004,5
Actinotignum sanguinis,858790,85,2043,5
Actinotignum sanguinis,858790,90,2112,5
Actinotignum sanguinis,858790,95,2282,5
Actinotignum sanguinis,858790,99,2643,5
Aerococcus christensenii,542621,75,2555,260
Aerococcus christensenii,542621,80,2642,260
Aerococcus christensenii,542621,85,2738,260
Aerococcus christensenii,542621,90,2933,260
Aerococcus christensenii,542621,95,3451,260
Aerococcus christensenii,542621,99,8274,260
Alistipes putredinis,712851,75,2758,5
Alistipes putredinis,712851,80,2781,5
Alistipes putredinis,712851,85,2806,5
Alistipes putredinis,712851,90,2838,5
Alistipes putredinis,712851,95,2944,5
Alistipes putredinis,712851,99,4064,5
Alloprevotella sp905369775,677509,75,2095,6
Alloprevotella sp905369775,677509,80,2100,6
Alloprevotella sp905369775,677509,85,2111,6
Alloprevotella sp905369775,677509,90,2120,6
Alloprevotella sp905369775,677509,95,2150,6
Alloprevotella sp905369775,677509,99,2378,6
Alloscardovia omnicolens,276312,75,1985,13
Alloscardovia omnicolens,276312,80,2026,13
Alloscardovia omnicolens,276312,85,2065,13
Alloscardovia omnicolens,276312,90,2127,13
Alloscardovia omnicolens,276312,95,2340,13
Alloscardovia omnicolens,276312,99,4188,13
Amygdalobacter indicium (BVAB2),567022,75,2773,473
Amygdalobacter indicium (BVAB2),567022,80,2852,473
Amygdalobacter indicium (BVAB2),567022,85,3001,473
Amygdalobacter indicium (BVAB2),567022,90,3360,473
Amygdalobacter indicium (BVAB2),567022,95,4541,473
Amygdalobacter indicium (BVAB2),567022,99,25352,473
Amygdalobacter nucleatus,791236,75,1769,36
Amygdalobacter nucleatus,791236,80,1790,36
Amygdalobacter nucleatus,791236,85,1820,36
Amygdalobacter nucleatus,791236,90,1859,36
Amygdalobacter nucleatus,791236,95,1941,36
Amygdalobacter nucleatus,791236,99,2908,36
Anaerococcus lactolyticus,978264,75,2802,16
Anaerococcus lactolyticus,978264,80,2826,16
Anaerococcus lactolyticus,978264,85,2898,16
Anaerococcus lactolyticus,978264,90,3087,16
Anaerococcus lactolyticus,978264,95,3856,16
Anaerococcus lactolyticus,978264,99,8425,16
Anaerococcus prevotii,667911,75,1838,5
Anaerococcus prevotii,667911,80,1840,5
Anaerococcus prevotii,667911,85,1849,5
Anaerococcus prevotii,667911,90,1897,5
Anaerococcus prevotii,667911,95,2165,5
Anaerococcus prevotii,667911,99,3488,5
Anaerococcus tetradius,204857,75,3706,92
Anaerococcus tetradius,204857,80,3744,92
Anaerococcus tetradius,204857,85,3826,92
Anaerococcus tetradius,204857,90,4110,92
Anaerococcus tetradius,204857,95,5290,92
Anaerococcus tetradius,204857,99,14692,92
Anaerococcus vaginalis_B,275605,75,2000,7
Anaerococcus vaginalis_B,275605,80,2010,7
Anaerococcus vaginalis_B,275605,85,2026,7
Anaerococcus vaginalis_B,275605,90,2085,7
Anaerococcus vaginalis_B,275605,95,2263,7
Anaerococcus vaginalis_B,275605,99,5255,7
Anaerococcus_unknown,935817,75,2683,6
Anaerococcus_unknown,935817,80,2743,6
Anaerococcus_unknown,935817,85,3193,6
Anaerococcus_unknown,935817,90,3961,6
Anaerococcus_unknown,935817,95,4835,6
Anaerococcus_unknown,935817,99,5877,6
Arcanobacterium_A sp000758825,738524,75,2159,53
Arcanobacterium_A sp000758825,738524,80,2178,53
Arcanobacterium_A sp000758825,738524,85,2190,53
Arcanobacterium_A sp000758825,738524,90,2233,53
Arcanobacterium_A sp000758825,738524,95,2364,53
Arcanobacterium_A sp000758825,738524,99,4674,53
Atopobacter_unknown,924646,75,1930,12
Atopobacter_unknown,924646,80,1942,12
Atopobacter_unknown,924646,85,1951,12
Atopobacter_unknown,924646,90,1963,12
Atopobacter_unknown,924646,95,1989,12
Atopobacter_unknown,924646,99,2057,12
Atopobium deltae,297173,75,1362,7
Atopobium deltae,297173,80,1370,7
Atopobium deltae,297173,85,1376,7
Atopobium deltae,297173,90,1389,7
Atopobium deltae,297173,95,1412,7
Atopobium deltae,297173,99,1684,7
Berryella sp001552935,198418,75,3609,482
Berryella sp001552935,198418,80,3809,482
Berryella sp001552935,198418,85,4215,482
Berryella sp001552935,198418,90,5266,482
Berryella sp001552935,198418,95,8693,482
Berryella sp001552935,198418,99,34115,482
Berryella sp900604965,547390,75,1999,6
Berryella sp900604965,547390,80,2016,6
Berryella sp900604965,547390,85,2030,6
Berryella sp900604965,547390,90,2048,6
Berryella sp900604965,547390,95,2074,6
Berryella sp900604965,547390,99,2724,6
Berryella_unknown,109652,75,2974,104
Berryella_unknown,109652,80,3160,104
Berryella_unknown,109652,85,3491,104
Berryella_unknown,109652,90,4245,104
Berryella_unknown,109652,95,6926,104
Berryella_unknown,109652,99,35639,104
Bifidobacterium bifidum,342081,75,2735,13
Bifidobacterium bifidum,342081,80,2750,13
Bifidobacterium bifidum,342081,85,2779,13
Bifidobacterium bifidum,342081,90,2811,13
Bifidobacterium bifidum,342081,95,2897,13
Bifidobacterium bifidum,342081,99,4303,13
Bifidobacterium breve,897926,75,5550,82
Bifidobacterium breve,897926,80,5705,82
Bifidobacterium breve,897926,85,5889,82
Bifidobacterium breve,897926,90,6197,82
Bifidobacterium breve,897926,95,6911,82
Bifidobacterium breve,897926,99,14853,82
Bifidobacterium dentium,683484,75,2907,12
Bifidobacterium dentium,683484,80,2922,12
Bifidobacterium dentium,683484,85,2938,12
Bifidobacterium dentium,683484,90,2960,12
Bifidobacterium dentium,683484,95,3006,12
Bifidobacterium dentium,683484,99,4233,12
Bifidobacterium leopoldii,976363,75,1822,50
Bifidobacterium leopoldii,976363,80,1864,50
Bifidobacterium leopoldii,976363,85,1945,50
Bifidobacterium leopoldii,976363,90,2084,50
Bifidobacterium leopoldii,976363,95,2436,50
Bifidobacterium leopoldii,976363,99,5218,50
Bifidobacterium longum,592117,75,4605,23
Bifidobacterium longum,592117,80,4699,23
Bifidobacterium longum,592117,85,4815,23
Bifidobacterium longum,592117,90,4977,23
Bifidobacterium longum,592117,95,5385,23
Bifidobacterium longum,592117,99,8975,23
Bifidobacterium piotii,595185,75,3376,361
Bifidobacterium piotii,595185,80,3626,361
Bifidobacterium piotii,595185,85,4090,361
Bifidobacterium piotii,595185,90,5070,361
Bifidobacterium piotii,595185,95,9063,361
Bifidobacterium piotii,595185,99,53748,361
Bifidobacterium sp003585735,705861,75,1742,24
Bifidobacterium sp003585735,705861,80,1804,24
Bifidobacterium sp003585735,705861,85,1908,24
Bifidobacterium sp003585735,705861,90,2147,24
Bifidobacterium sp003585735,705861,95,3025,24
Bifidobacterium sp003585735,705861,99,8082,24
Bifidobacterium swidsinskii,367459,75,4326,566
Bifidobacterium swidsinskii,367459,80,4620,566
Bifidobacterium swidsinskii,367459,85,5116,566
Bifidobacterium swidsinskii,367459,90,6095,566
Bifidobacterium swidsinskii,367459,95,8997,566
Bifidobacterium swidsinskii,367459,99,25636,566
Bifidobacterium vaginale,783244,75,4287,700
Bifidobacterium vaginale,783244,80,4630,700
Bifidobacterium vaginale,783244,85,5296,700
Bifidobacterium vaginale,783244,90,6618,700
Bifidobacterium vaginale,783244,95,11086,700
Bifidobacterium vaginale,783244,99,55339,700
Bifidobacterium vaginale_A,927036,75,3668,357
Bifidobacterium vaginale_A,927036,80,3906,357
Bifidobacterium vaginale_A,927036,85,4370,357
Bifidobacterium vaginale_A,927036,90,5076,357
Bifidobacterium vaginale_A,927036,95,7095,357
Bifidobacterium vaginale_A,927036,99,22298,357
Bifidobacterium vaginale_B,998576,75,1874,48
Bifidobacterium vaginale_B,998576,80,1962,48
Bifidobacterium vaginale_B,998576,85,2076,48
Bifidobacterium vaginale_B,998576,90,2356,48
Bifidobacterium vaginale_B,998576,95,3334,48
Bifidobacterium vaginale_B,998576,99,11089,48
Bifidobacterium vaginale_C,696853,75,4163,292
Bifidobacterium vaginale_C,696853,80,4529,292
Bifidobacterium vaginale_C,696853,85,5218,292
Bifidobacterium vaginale_C,696853,90,6547,292
Bifidobacterium vaginale_C,696853,95,11003,292
Bifidobacterium vaginale_C,696853,99,48154,292
Bifidobacterium vaginale_D,207192,75,2853,181
Bifidobacterium vaginale_D,207192,80,3114,181
Bifidobacterium vaginale_D,207192,85,3468,181
Bifidobacterium vaginale_D,207192,90,4059,181
Bifidobacterium vaginale_D,207192,95,5478,181
Bifidobacterium vaginale_D,207192,99,12356,181
Bifidobacterium vaginale_F,781098,75,2927,129
Bifidobacterium vaginale_F,781098,80,3140,129
Bifidobacterium vaginale_F,781098,85,3497,129
Bifidobacterium vaginale_F,781098,90,4168,129
Bifidobacterium vaginale_F,781098,95,6189,129
Bifidobacterium vaginale_F,781098,99,23273,129
Bifidobacterium vaginale_H,126681,75,3263,222
Bifidobacterium vaginale_H,126681,80,3575,222
Bifidobacterium vaginale_H,126681,85,4092,222
Bifidobacterium vaginale_H,126681,90,4959,222
Bifidobacterium vaginale_H,126681,95,7240,222
Bifidobacterium vaginale_H,126681,99,24480,222
Bifidobacterium_unknown,271650,75,6450,285
Bifidobacterium_unknown,271650,80,7209,285
Bifidobacterium_unknown,271650,85,8693,285
Bifidobacterium_unknown,271650,90,11022,285
Bifidobacterium_unknown,271650,95,16718,285
Bifidobacterium_unknown,271650,99,48366,285
Brevibacterium ravenspurgense,915160,75,3045,9
Brevibacterium ravenspurgense,915160,80,3071,9
Brevibacterium ravenspurgense,915160,85,3125,9
Brevibacterium ravenspurgense,915160,90,3251,9
Brevibacterium ravenspurgense,915160,95,3912,9
Brevibacterium ravenspurgense,915160,99,8907,9
Bulleidia_unknown,736944,75,2512,20
Bulleidia_unknown,736944,80,2528,20
Bulleidia_unknown,736944,85,2546,20
Bulleidia_unknown,736944,90,2575,20
Bulleidia_unknown,736944,95,2630,20
Bulleidia_unknown,736944,99,4199,20
CAJPTP01 sp905373555,716122,75,2420,7
CAJPTP01 sp905373555,716122,80,2427,7
CAJPTP01 sp905373555,716122,85,2444,7
CAJPTP01 sp905373555,716122,90,2493,7
CAJPTP01 sp905373555,716122,95,2622,7
CAJPTP01 sp905373555,716122,99,3753,7
CAKAHY01_unknown,516615,75,2043,8
CAKAHY01_unknown,516615,80,2049,8
CAKAHY01_unknown,516615,85,2065,8
CAKAHY01_unknown,516615,90,2080,8
CAKAHY01_unknown,516615,95,2115,8
CAKAHY01_unknown,516615,99,2388,8
Campylobacter_B ureolyticus,386171,75,2324,7
Campylobacter_B ureolyticus,386171,80,2354,7
Campylobacter_B ureolyticus,386171,85,2393,7
Campylobacter_B ureolyticus,386171,90,2481,7
Campylobacter_B ureolyticus,386171,95,3082,7
Campylobacter_B ureolyticus,386171,99,6429,7
Campylobacter_B_unknown,129333,75,4746,15
Campylobacter_B_unknown,129333,80,4797,15
Campylobacter_B_unknown,129333,85,4830,15
Campylobacter_B_unknown,129333,90,4890,15
Campylobacter_B_unknown,129333,95,5142,15
Campylobacter_B_unknown,129333,99,8248,15
Catonella_unknown,766234,75,2299,12
Catonella_unknown,766234,80,2317,12
Catonella_unknown,766234,85,2338,12
Catonella_unknown,766234,90,2365,12
Catonella_unknown,766234,95,2411,12
Catonella_unknown,766234,99,2638,12
Chlamydia trachomatis,674974,75,925,51
Chlamydia trachomatis,674974,80,925,51
Chlamydia trachomatis,674974,85,928,51
Chlamydia trachomatis,674974,90,939,51
Chlamydia trachomatis,674974,95,973,51
Chlamydia trachomatis,674974,99,1187,51
