sample_name	species_id	pangenome_size	covered_genes	fraction_covered	aligned_reads	mapped_reads	mean_depth	marker_depth
Dysp_0052	100505	5767	4343	0.753	878473	847719	17.069	52.409
Dysp_0030	100505	5767	3532	0.612	163669	157961	2.725	3.883
Dysp_0042	100505	5767	4175	0.724	1235477	1198049	24.584	75.599
Dysp_0081	100505	5767	4146	0.719	2444443	2308445	48.037	143.838
Dysp_0023	100505	5767	3946	0.684	97349	93433	2.106	5.340
Dysp_0047	100505	5767	4390	0.761	854423	810645	16.135	52.122
Dysp_0037	100505	5767	4351	0.754	2724260	2622718	52.653	160.865
Dysp_0015	100505	5767	4268	0.740	2483313	2391987	49.945	152.144
Dysp_0007	100505	5767	3789	0.657	276144	264873	5.566	8.839
Dysp_0010	100505	5767	4272	0.741	1651320	1588536	32.973	110.309
Dysp_0021	100505	5767	3576	0.620	137177	132817	3.231	10.214
Dysp_0012	100505	5767	4224	0.732	355187	342131	7.161	20.713
Dysp_0079	100505	5767	3446	0.598	53898	50842	1.318	3.637
Dysp_0003	100505	5767	4145	0.719	278009	269192	5.644	16.689
Dysp_0067	100505	5767	4224	0.732	2144452	2035206	42.334	139.034
Dysp_0055	100505	5767	4045	0.701	366598	352426	6.846	9.612
Dysp_0049	100505	5767	3828	0.664	416971	399791	8.212	10.680
VMG_0004	100505	5767	3572	0.619	195259	185690	3.807	5.300
Dysp_0046	100505	5767	3803	0.659	252401	244229	3.981	6.424
Dysp_0048	100505	5767	4048	0.702	297398	286375	5.626	10.834
Dysp_0154	100505	5767	4254	0.738	1282599	1236348	25.021	84.394
Dysp_0133	100505	5767	4245	0.736	578903	559247	11.643	32.207
Dysp_0111	100505	5767	4408	0.764	1179511	1136968	22.764	71.347
Dysp_0069	100505	5767	4330	0.751	1277814	1228835	22.116	51.077
Dysp_0103	100505	5767	4199	0.728	2123287	2006568	42.162	128.030
Dysp_0129	100505	5767	4317	0.749	1538774	1488306	30.551	93.315
Dysp_0035	100505	5767	3841	0.666	135407	129979	2.971	7.414
Dysp_0143	100505	5767	4365	0.757	3317656	3210326	65.892	205.523
Dysp_0122	100505	5767	4303	0.746	4156238	3943371	80.647	232.619
Dysp_0078	100505	5767	4170	0.723	1534931	1451522	30.206	99.620
Dysp_0165	100505	5767	4239	0.735	451100	433227	9.186	25.919
Dysp_0040	100505	5767	4273	0.741	940236	887981	17.873	56.337
Dysp_0150	100505	5767	4408	0.764	2338463	2261035	45.667	150.599
Dysp_0169	100505	5767	4339	0.752	2764220	2674913	54.855	176.819
Dysp_0107	100505	5767	4292	0.744	2946849	2782993	55.252	180.321
Dysp_0172	100505	5767	4166	0.722	1110544	1071023	21.979	69.837
Dysp_0092	100505	5767	4237	0.735	1245209	1174595	23.930	71.555
Dysp_0157	100505	5767	4390	0.761	3164910	3053029	60.725	196.532
VMG_0010	100505	5767	3904	0.677	757437	711775	12.147	17.394
Dysp_0002	100505	5767	4482	0.777	6081651	5838137	119.525	382.530
Dysp_0094	100505	5767	4360	0.756	7080474	6686913	134.168	466.611
Dysp_0144	100505	5767	4873	0.845	4194500	4038627	71.890	267.421
Dysp_0001	100505	5767	4402	0.763	4367383	4126791	83.574	279.136
Dysp_0132	100505	5767	4317	0.749	2108201	2035717	41.643	126.924
Dysp_0118	100505	5767	4064	0.705	190486	181813	4.015	11.400
Dysp_0089	100505	5767	4365	0.757	401601	377889	7.558	21.762
Dysp_0091	100505	5767	4417	0.766	4782510	4507438	88.155	296.260
Dysp_0153	100505	5767	4402	0.763	3379665	3253067	64.421	219.853
Dysp_0115	100505	5767	4304	0.746	429742	409044	6.728	11.735
Dysp_0096	100505	5767	3391	0.588	54327	49687	1.276	3.236
Dysp_0130	100505	5767	4332	0.751	834951	804978	16.433	51.719
Dysp_0076	100505	5767	4411	0.765	783599	736549	14.967	45.610
Dysp_0162	100505	5767	4062	0.704	596551	569722	11.825	23.021
VMG_0014	100505	5767	4242	0.736	1448631	1370240	28.273	96.507
Dysp_0146	100505	5767	4773	0.828	1690665	1620961	30.054	88.079
Dysp_0125	100505	5767	4232	0.734	1675786	1613453	33.766	101.000
VMG_0060	100505	5767	4274	0.741	2402067	2306585	47.947	152.752
Dysp_0159	100505	5767	4276	0.741	856525	826429	16.810	50.017
Dysp_0070	100505	5767	4455	0.772	993405	953432	15.475	36.769
Dysp_0161	100505	5767	4302	0.746	1949910	1875757	38.249	110.092
Dysp_0101	100505	5767	4300	0.746	3196044	3078670	62.924	203.037
VMG_0125	100505	5767	4212	0.730	777092	751340	15.451	50.771
Dysp_0112	100505	5767	3755	0.651	90816	85087	1.993	5.658
VMG_0052	100505	5767	4227	0.733	5346943	5141449	109.079	338.460
VMG_0015	100505	5767	4107	0.712	552782	523862	11.003	33.426
VMG_0069	100505	5767	4550	0.789	3252269	3129679	60.712	214.182
VMG_0054	100505	5767	4438	0.770	1262314	1210836	24.634	77.734
VMG_0080	100505	5767	4540	0.787	1244754	1188556	23.500	71.484
VMG_0118	100505	5767	4458	0.773	3978088	3810027	75.153	240.365
VMG_0068	100505	5767	3970	0.688	240499	227881	4.925	14.649
VMG_0096	100505	5767	3939	0.683	100629	94845	2.073	5.268
VMG_0152	100505	5767	3533	0.613	132773	122905	2.112	2.460
VMG_0089	100505	5767	3888	0.674	274042	261654	5.903	16.316
VMG_0107	100505	5767	4201	0.728	843216	800469	16.432	51.717
VMG_0081	100505	5767	4147	0.719	631625	603080	12.648	43.704
VMG_0166	100505	5767	4114	0.713	369233	352493	7.203	21.599
VMG_0141	100505	5767	4453	0.772	1268096	1216332	23.925	76.217
VMG_0031	100505	5767	4358	0.756	2238993	2094687	41.439	135.305
VMG_0097	100505	5767	4128	0.716	1815167	1710960	36.175	112.231
VMG_0008	100505	5767	4214	0.731	627220	592620	10.330	14.084
VMG_0127	100505	5767	4505	0.781	3357532	3232655	62.383	207.067
VMG_0143	100505	5767	4028	0.698	530659	510087	11.047	31.846
VMG_0045	100505	5767	3958	0.686	731773	704171	15.333	48.625
VMG_0013	100505	5767	4463	0.774	1050109	990839	16.261	24.013
Dysp_0175	100505	5767	4416	0.766	1229221	1187109	23.607	72.131
VMG_0055	100505	5767	4293	0.744	837220	803133	16.459	56.688
VMG_0056	100505	5767	4289	0.744	2230348	2075206	41.119	129.441
VMG_0057	100505	5767	3750	0.650	229908	218086	4.319	3.974
VMG_0040	100505	5767	4181	0.725	945192	901514	18.757	58.795
VMG_0133	100505	5767	4589	0.796	6085244	5841760	112.645	324.862
Dysp_0082	100505	5767	4350	0.754	579654	548332	11.256	32.705
Dysp_0084	100505	5767	4165	0.722	2206228	2097095	44.694	130.544
Dysp_0140	100505	5767	4411	0.765	1792991	1734992	34.342	104.394
VMG_0146	100505	5767	4081	0.708	1175077	1107483	16.147	28.482
VMG_0071	100505	5767	4580	0.794	3074332	2858462	53.844	161.846
Dysp_0060	100505	5767	4259	0.739	1497036	1418572	29.626	91.099
VMG_0112	100505	5767	4350	0.754	2359146	2248537	44.544	145.722
VMG_0103	100505	5767	4227	0.733	1338290	1268966	26.234	81.625
VMG_0123	100505	5767	4468	0.775	6061691	5831501	114.799	367.724
VMG_0175	100505	5767	3953	0.685	188081	180026	3.998	12.123
VMG_0149	100505	5767	4086	0.709	175198	167474	3.548	10.130
VMG_0150	100505	5767	4260	0.739	1058294	1011034	20.689	63.803
VMG_0035	100505	5767	4338	0.752	4425347	4257640	84.519	279.405
Dysp_0073	100505	5767	4100	0.711	552734	524000	11.200	38.123
VMG_0153	100505	5767	4306	0.747	2160299	2065079	42.144	133.240
VMG_0169	100505	5767	4275	0.741	1758551	1679803	34.108	106.834
VMG_0003	100505	5767	3799	0.659	121586	114136	2.692	8.347
VMG_0128	100505	5767	3917	0.679	1163103	1115192	25.319	73.115
Dysp_0177	100505	5767	4388	0.761	1915207	1852524	37.274	107.691
Dysp_0034	100505	5767	4220	0.732	1145675	1099771	23.484	72.126
VMG_0140	100505	5767	4363	0.757	2512904	2385352	49.040	154.281
VMG_0129	100505	5767	4277	0.742	835179	800932	16.891	52.684
VMG_0164	100505	5767	4345	0.753	365280	348452	7.106	23.229
VMG_0120	100505	5767	4303	0.746	5507502	5288660	106.189	336.836
VMG_0085	100505	5767	4257	0.738	2442217	2290662	46.392	151.803
Dysp_0117	100505	5767	4147	0.719	293175	276032	5.926	17.923
Dysp_0110	100505	5767	4340	0.753	806965	762406	15.023	45.496
VMG_0159	100505	5767	4052	0.703	3905500	3742877	81.133	246.517
Dysp_0100	100505	5767	4629	0.803	1044759	996115	19.504	50.389
Dysp_0134	100505	5767	4322	0.749	6094539	5906368	120.963	368.626
Dysp_0108	100505	5767	4009	0.695	287022	269203	5.765	16.297
VMG_0171	100505	5767	4778	0.829	2396409	2291884	41.374	137.262
VMG_0016	100505	5767	4331	0.751	240765	225421	4.711	13.609
VMG_0147	100505	5767	4427	0.768	1300848	1208652	23.558	73.600
Dysp_0058	100505	5767	4209	0.730	940402	890013	18.672	61.971
VMG_0079	100505	5767	3630	0.629	44451	41861	1.012	2.418
VMG_0100	100505	5767	4293	0.744	8201995	7849660	159.403	485.475
Dysp_0164	100505	5767	3976	0.689	157251	146130	3.375	8.523
VMG_0034	100505	5767	4446	0.771	3803003	3547541	69.744	238.830
Dysp_0151	100505	5767	4202	0.729	365848	349530	7.545	19.290
Dysp_0093	100505	5767	4194	0.727	6151207	5827985	119.426	390.287
Dysp_0009	100505	5767	3823	0.663	63211	57623	1.446	2.499
Dysp_0019	100505	5767	3939	0.683	90313	81901	1.927	4.608
VMG_0058	100505	5767	4335	0.752	344258	327075	6.577	21.406
Dysp_0135	100505	5767	3419	0.593	94840	85415	2.760	2.774
Dysp_0167	100505	5767	4648	0.806	3114536	2999438	56.356	189.110
VMG_0154	100505	5767	4369	0.758	1861988	1792404	35.030	98.437
VMG_0135	100505	5767	3746	0.650	108676	102042	2.402	7.186
Dysp_0138	100505	5767	4080	0.707	173171	161355	4.021	7.391
Dysp_0145	100505	5767	4691	0.813	787144	742309	13.999	44.353
Dysp_0114	100505	5767	4194	0.727	377172	358529	6.935	13.004
Dysp_0158	100505	5767	4280	0.742	1967584	1895450	38.620	130.753
VMG_0062	100505	5767	4404	0.764	3202224	2982578	60.189	201.263
VMG_0119	100505	5767	4633	0.803	1007388	957579	17.641	31.908
Dysp_0074	100505	5767	4550	0.789	461421	435700	7.165	14.159
Dysp_0068	100505	5767	4745	0.823	9166598	8526422	167.784	453.550
VMG_0092	100505	5767	4306	0.747	1243556	1162487	23.349	82.351
VMG_0145	100505	5767	4485	0.778	592346	550218	11.291	30.881
Dysp_0170	100505	5767	4568	0.792	2407666	2313221	44.798	99.558
Dysp_0031	100505	5767	4356	0.755	856942	818340	16.351	50.133
Dysp_0174	100505	5767	4263	0.739	1335415	1290149	25.920	82.017
VMG_0027	100505	5767	3961	0.687	218788	207935	4.735	13.460
Dysp_0085	100505	5767	3480	0.603	101033	76923	2.106	2.512
VMG_0136	100505	5767	4288	0.744	2297405	2190801	43.817	151.688
Dysp_0171	100505	5767	4078	0.707	529275	507768	10.505	26.541
Dysp_0054	100505	5767	3934	0.682	151133	127671	3.192	4.083
VMG_0037	100505	5767	4247	0.736	765952	696317	13.493	40.559
VMG_0137	100505	5767	4373	0.758	1519860	1456324	29.003	91.224
Dysp_0155	100505	5767	4278	0.742	1149728	1099452	20.170	33.853
Dysp_0121	100505	5767	4445	0.771	611635	563489	11.422	33.846
Dysp_0013	100505	5767	4277	0.742	422185	397111	8.631	23.360
Dysp_0039	100505	5767	4992	0.866	1123464	1060628	19.419	53.355
Dysp_0148	100505	5767	4658	0.808	550167	512687	9.898	28.495
VMG_0160	100505	5767	4536	0.787	833400	785985	16.130	47.043
VMG_0023	100505	5767	4461	0.774	279247	253734	5.336	13.544
VMG_0093	100505	5767	3948	0.685	234666	205137	5.672	5.360
VMG_0106	100505	5767	4584	0.795	2295848	2166098	40.703	143.625
