cluster_90_id	Dysp_0083	Dysp_0044	Dysp_0079	Dysp_0022	Dysp_0065	Dysp_0088	Dysp_0052	Dysp_0142	Dysp_0133	Dysp_0118	Dysp_0020	Dysp_0123	Dysp_0078	Dysp_0106	Dysp_0023	Dysp_0111	Dysp_0139	Dysp_0059	Dysp_0132	Dysp_0119	Dysp_0113	Dysp_0005	Dysp_0096	Dysp_0014	Dysp_0162	Dysp_0136	Dysp_0001	Dysp_0064	Dysp_0017	Dysp_0149	Dysp_0075	Dysp_0168	Dysp_0089	VMG_0001	VMG_0005	Dysp_0070	Dysp_0112	VMG_0029	Dysp_0130	VMG_0018	VMG_0064	VMG_0009	VMG_0020	VMG_0051	VMG_0011	VMG_0055	VMG_0065	VMG_0015	VMG_0116	VMG_0049	VMG_0073	VMG_0088	VMG_0056	VMG_0068	VMG_0039	VMG_0080	VMG_0045	VMG_0124	VMG_0030	VMG_0013	VMG_0109	VMG_0121	VMG_0082	VMG_0133	VMG_0032	VMG_0077	VMG_0047	VMG_0096	VMG_0132	VMG_0095	VMG_0105	VMG_0044	VMG_0114	VMG_0035	VMG_0059	VMG_0043	VMG_0151	VMG_0166	VMG_0148	VMG_0102	VMG_0167	VMG_0144	VMG_0175	VMG_0046	VMG_0149	VMG_0103	VMG_0008	VMG_0076	VMG_0157	VMG_0017	VMG_0153	VMG_0164	Dysp_0028	VMG_0143	VMG_0169	Dysp_0018	VMG_0003	VMG_0061	VMG_0173	VMG_0115	VMG_0128	VMG_0075	Dysp_0033	VMG_0074	Dysp_0082	VMG_0016	VMG_0113	VMG_0079	VMG_0117	VMG_0034	VMG_0027	VMG_0147	Dysp_0060	VMG_0150	VMG_0085	VMG_0026	VMG_0025	Dysp_0093	VMG_0042	Dysp_0097	Dysp_0016	VMG_0087	VMG_0036	Dysp_0177	Dysp_0164	Dysp_0105	VMG_0111	Dysp_0080	VMG_0161	VMG_0142	VMG_0163	Dysp_0108	VMG_0007	Dysp_0110	VMG_0050	VMG_0063	Dysp_0087	VMG_0162	VMG_0098	VMG_0135
GCF_000091765.1_01691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_008694205.1_00286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000162255.1_01543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_001541585.1_02162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_004361215.1_02246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
GCF_001563615.1_00426	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GCF_004361195.1_02077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000301135.1_01867	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1
GCF_002863505.1_01555	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCF_000176975.2_01843	0	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1
GCF_004361345.1_01026	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
