cluster_90_id	Dysp_0056	Dysp_0032	Dysp_0007	Dysp_0041	Dysp_0008	Dysp_0004	Dysp_0020	Dysp_0123	Dysp_0139	Dysp_0120	Dysp_0152	VMG_0001	Dysp_0109	VMG_0024	VMG_0118	VMG_0073	VMG_0080	VMG_0066	VMG_0156	VMG_0159	VMG_0081	VMG_0006	VMG_0072	VMG_0139	VMG_0057	VMG_0048	Dysp_0163	VMG_0147	Dysp_0097	Dysp_0108	Dysp_0098
GCF_007786065.1_01066	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
GCF_000177035.2_01410	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_007785975.1_00832	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GCF_000014425.1_00044	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_00648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
GCF_003437055.1_01543	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
GCF_000014425.1_00944	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
GCF_000177035.2_01781	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0
GCF_007785975.1_01620	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1
GCF_002863445.1_00378	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCA_014654855.1_01282	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
GCA_007826985.1_00039	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1
GCF_000155935.2_00172	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0
GCF_001546525.1_00128	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1
GCF_002287905.1_01450	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0
GCA_014654855.1_01044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000283135.1_00465	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1
GCF_002863445.1_00986	1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0
GCF_002863425.1_00020	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1
GCF_001064985.1_00684	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1
GCA_014654855.1_00303	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0
GCF_007786195.1_01025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_014654855.1_00974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_002287905.1_01086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
GCA_014654855.1_00776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000175055.1_00820	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0
GCF_000177035.2_01844	1	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1
GCF_000014425.1_01635	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_002287905.1_01789	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0
GCA_007826985.1_00565	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_001064985.1_00215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_007826985.1_00564	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_01193	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
GCA_014654855.1_00804	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_01480	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_01192	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_001546525.1_01273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GCF_007785965.1_01103	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1
GCF_007786195.1_01026	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCA_014654855.1_01021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_01211	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
GCA_007826985.1_00274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GCF_001064985.1_00181	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_014654855.1_01829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_002863425.1_00017	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_014654855.1_02007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_001064985.1_00020	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_007826985.1_00201	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1
GCF_002287905.1_00660	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1
GCA_014654855.1_00646	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_00371	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000155935.2_01696	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
GCF_000175055.1_00275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000439915.1_01732	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_007785975.1_00829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_000283135.1_01109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_014654855.1_00007	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
GCA_007826985.1_00799	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0
GCA_007826985.1_00019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_01194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00497	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_00182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00798	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0
GCF_000283135.1_00463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
GCF_007785965.1_00318	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
GCF_000014425.1_00900	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	0
GCA_014654855.1_01127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000177415.1_00347	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_01474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000177035.2_01847	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
GCA_014654855.1_00333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
GCF_000014425.1_00965	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000177035.2_01411	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCA_014654855.1_01749	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00835	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000177415.1_00208	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00543	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00544	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_01717	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
GCA_007826985.1_00175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_01130	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
GCF_000175055.1_00800	1	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0
GCF_000177035.2_01926	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0
GCA_007826985.1_00138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_014654855.1_00313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCA_007826985.1_00403	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_000177035.2_01920	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0
