sample_name	species_id	pangenome_size	covered_genes	fraction_covered	aligned_reads	mapped_reads	mean_depth	marker_depth
Dysp_0021	240891	28945	10625	0.367	146954	142689	1.215	10.271
Dysp_0030	240891	28945	9076	0.314	164781	159458	1.118	3.883
Dysp_0007	240891	28945	12303	0.425	293846	283806	1.900	8.839
Dysp_0052	240891	28945	15897	0.549	948559	917769	5.201	52.529
Dysp_0015	240891	28945	16289	0.563	2532432	2444339	13.646	151.583
Dysp_0046	240891	28945	11147	0.385	255425	247668	1.430	6.375
Dysp_0047	240891	28945	15449	0.534	888246	845631	4.922	52.122
Dysp_0048	240891	28945	12720	0.439	315663	305228	2.001	10.845
Dysp_0069	240891	28945	16198	0.560	1305508	1259528	6.289	52.910
Dysp_0042	240891	28945	15513	0.536	1262664	1227460	6.931	75.499
Dysp_0067	240891	28945	15896	0.549	2187577	2083373	11.826	139.802
Dysp_0010	240891	28945	16333	0.564	1687205	1627190	9.051	104.636
Dysp_0079	240891	28945	8721	0.301	311128	296744	3.575	3.898
Dysp_0037	240891	28945	16187	0.559	2786064	2693404	14.897	160.865
Dysp_0081	240891	28945	15662	0.541	2509276	2379744	13.478	144.034
Dysp_0023	240891	28945	11005	0.380	423778	409830	3.889	5.340
Dysp_0001	240891	28945	18246	0.630	4725050	4481978	22.656	279.963
Dysp_0144	240891	28945	19112	0.660	4287553	4139698	19.181	268.757
Dysp_0118	240891	28945	13028	0.450	704178	678362	5.509	11.537
Dysp_0143	240891	28945	16907	0.584	3391224	3288435	17.815	205.530
Dysp_0035	240891	28945	11014	0.381	174762	168188	1.413	7.414
Dysp_0055	240891	28945	12698	0.439	372544	360412	2.286	9.612
Dysp_0103	240891	28945	15826	0.547	2166960	2055641	11.727	129.507
Dysp_0129	240891	28945	16733	0.578	1583111	1536642	8.299	94.733
Dysp_0154	240891	28945	15945	0.551	1326894	1281576	7.173	77.314
Dysp_0133	240891	28945	15485	0.535	618886	599825	3.548	30.416
Dysp_0169	240891	28945	17597	0.608	2936395	2849029	14.884	171.888
Dysp_0172	240891	28945	14969	0.517	1132927	1095086	6.407	69.919
Dysp_0096	240891	28945	8263	0.285	800334	759225	9.752	3.247
Dysp_0122	240891	28945	16910	0.584	4243160	4036861	21.548	232.309
Dysp_0078	240891	28945	15834	0.547	1583483	1505089	8.492	97.470
Dysp_0089	240891	28945	14849	0.513	1061313	1007553	6.945	21.687
Dysp_0094	240891	28945	17169	0.593	7238282	6871181	35.982	453.219
Dysp_0049	240891	28945	12862	0.444	426290	412064	2.602	10.822
VMG_0004	240891	28945	9658	0.334	199665	190396	1.473	5.300
Dysp_0107	240891	28945	16256	0.562	3003373	2852048	15.267	177.125
Dysp_0165	240891	28945	14539	0.502	467787	450865	2.863	25.919
Dysp_0125	240891	28945	15626	0.540	1717567	1658454	9.640	101.103
Dysp_0132	240891	28945	16822	0.581	2493538	2416216	13.333	123.062
Dysp_0091	240891	28945	17266	0.597	4920310	4667936	23.866	292.257
Dysp_0159	240891	28945	15854	0.548	882775	854299	4.794	48.698
Dysp_0003	240891	28945	13772	0.476	290799	281130	1.837	16.700
VMG_0015	240891	28945	14414	0.498	585650	556776	3.468	33.426
Dysp_0146	240891	28945	18092	0.625	1732684	1672624	8.398	89.361
Dysp_0012	240891	28945	14057	0.486	364211	351910	2.274	20.897
Dysp_0161	240891	28945	15699	0.542	2015249	1944493	11.139	110.190
VMG_0010	240891	28945	12987	0.449	778574	732626	3.856	17.394
Dysp_0157	240891	28945	17020	0.588	3258545	3150656	16.621	196.582
Dysp_0101	240891	28945	16557	0.572	3261672	3149314	17.145	203.135
Dysp_0153	240891	28945	17120	0.591	3542327	3417815	17.874	219.943
VMG_0060	240891	28945	16314	0.564	2467557	2376324	13.251	149.645
Dysp_0111	240891	28945	17377	0.600	1193430	1151891	5.981	71.737
VMG_0125	240891	28945	15881	0.549	819317	793045	4.469	50.432
VMG_0054	240891	28945	17259	0.596	1301516	1252905	6.727	77.826
Dysp_0040	240891	28945	15242	0.527	964008	914349	5.296	56.059
Dysp_0002	240891	28945	17567	0.607	6281470	6048811	32.443	382.623
VMG_0013	240891	28945	16276	0.562	1078176	1023345	4.665	23.409
VMG_0127	240891	28945	17301	0.598	3444494	3327099	17.112	207.209
VMG_0118	240891	28945	17678	0.611	4090460	3932868	20.015	244.048
VMG_0055	240891	28945	16235	0.561	859667	827267	4.598	56.688
VMG_0040	240891	28945	15359	0.531	970326	928099	5.405	59.280
VMG_0014	240891	28945	15484	0.535	1495958	1419943	8.289	94.543
VMG_0052	240891	28945	16417	0.567	5484814	5287245	29.557	330.739
VMG_0096	240891	28945	10949	0.378	726024	694088	6.771	5.268
VMG_0089	240891	28945	12830	0.443	299892	286793	2.017	16.316
Dysp_0130	240891	28945	16081	0.556	873773	841291	4.809	49.915
VMG_0154	240891	28945	15938	0.551	1921768	1857098	10.210	99.452
VMG_0143	240891	28945	13988	0.483	557032	537346	3.442	33.311
Dysp_0115	240891	28945	14470	0.500	459475	440246	2.311	11.683
Dysp_0112	240891	28945	10394	0.359	418746	397135	3.967	5.658
Dysp_0070	240891	28945	16394	0.566	1184498	1144411	5.562	37.174
VMG_0069	240891	28945	17237	0.596	3315013	3196136	16.798	213.568
VMG_0080	240891	28945	17256	0.596	1291885	1241871	6.672	71.484
VMG_0057	240891	28945	11038	0.381	242130	230463	1.604	4.040
VMG_0045	240891	28945	14313	0.494	852278	823019	5.206	49.055
VMG_0107	240891	28945	14944	0.516	862940	821507	4.875	51.477
VMG_0097	240891	28945	15620	0.540	1854179	1754791	9.971	113.040
VMG_0166	240891	28945	13684	0.473	388330	372532	2.391	22.225
Dysp_0092	240891	28945	15569	0.538	1275061	1207057	6.860	71.681
VMG_0133	240891	28945	18369	0.635	6123599	5907940	29.075	326.782
VMG_0146	240891	28945	14653	0.506	1182472	1118376	4.679	28.871
Dysp_0150	240891	28945	17172	0.593	2379619	2305390	12.216	150.418
VMG_0008	240891	28945	14767	0.510	656457	624167	3.243	14.131
VMG_0112	240891	28945	17082	0.590	2410497	2307100	11.963	143.110
Dysp_0084	240891	28945	15375	0.531	2259977	2154112	12.684	134.331
Dysp_0175	240891	28945	16835	0.582	1272886	1233682	6.618	72.226
VMG_0071	240891	28945	17547	0.606	3144526	2947833	14.861	162.150
VMG_0081	240891	28945	14705	0.508	650334	622631	3.768	43.503
VMG_0068	240891	28945	12845	0.444	828438	790618	6.033	14.885
VMG_0169	240891	28945	16352	0.565	1982142	1902703	10.606	105.466
Dysp_0162	240891	28945	14835	0.513	1186646	1141987	7.472	23.021
VMG_0175	240891	28945	12312	0.425	341670	328345	2.594	11.548
Dysp_0140	240891	28945	16950	0.586	1858546	1806141	9.536	105.138
VMG_0129	240891	28945	15151	0.523	921102	884645	5.412	55.190
Dysp_0073	240891	28945	13775	0.476	567398	539498	3.536	38.480
VMG_0103	240891	28945	16095	0.556	1378213	1310979	7.295	82.363
VMG_0141	240891	28945	16750	0.579	1290512	1245180	6.611	76.310
VMG_0031	240891	28945	16898	0.584	2321810	2180767	11.479	134.295
VMG_0140	240891	28945	16517	0.571	2602715	2479772	13.819	157.795
Dysp_0082	240891	28945	15421	0.533	657438	625928	3.792	32.184
VMG_0085	240891	28945	16984	0.587	2620860	2465741	12.993	149.011
VMG_0159	240891	28945	15623	0.540	4048859	3888554	22.406	247.319
Dysp_0060	240891	28945	16025	0.554	1563237	1488852	8.522	91.563
VMG_0056	240891	28945	17719	0.612	2522481	2355498	11.813	132.785
VMG_0120	240891	28945	16625	0.574	5606547	5395587	28.744	330.663
VMG_0153	240891	28945	17059	0.589	2252895	2162392	11.477	131.545
Dysp_0110	240891	28945	16397	0.566	984722	938677	5.137	45.832
VMG_0035	240891	28945	17032	0.588	5258217	5068387	27.124	279.799
Dysp_0117	240891	28945	13561	0.469	359291	337762	2.352	18.023
VMG_0034	240891	28945	17797	0.615	3950887	3712068	18.716	234.820
VMG_0123	240891	28945	17870	0.617	6169020	5959213	29.987	358.265
VMG_0150	240891	28945	15558	0.538	1278614	1226987	7.255	63.900
VMG_0100	240891	28945	17113	0.591	8438408	8105147	42.262	489.117
Dysp_0177	240891	28945	17089	0.590	2172565	2107491	11.367	107.691
VMG_0149	240891	28945	12921	0.446	522678	502518	3.926	10.255
Dysp_0093	240891	28945	16735	0.578	6268494	5965912	31.229	391.301
Dysp_0134	240891	28945	16901	0.584	6237894	6056662	32.473	369.206
Dysp_0108	240891	28945	14004	0.484	1063061	1009126	7.264	16.157
Dysp_0076	240891	28945	16574	0.573	868463	816714	4.626	44.988
Dysp_0058	240891	28945	15417	0.533	987531	937617	5.551	62.461
VMG_0003	240891	28945	11333	0.392	711532	677057	6.277	8.346
Dysp_0164	240891	28945	12000	0.415	806924	773100	6.861	8.672
VMG_0128	240891	28945	13973	0.483	1719746	1652734	11.313	72.513
VMG_0164	240891	28945	14639	0.506	1111992	1069335	7.505	23.192
Dysp_0151	240891	28945	14344	0.496	411832	393585	2.656	19.314
VMG_0147	240891	28945	16470	0.569	1365153	1278026	6.835	73.600
VMG_0016	240891	28945	13790	0.476	650475	623645	4.557	13.515
VMG_0027	240891	28945	12512	0.432	1360972	1307741	10.965	13.460
VMG_0058	240891	28945	14645	0.506	413919	391957	2.443	21.595
Dysp_0114	240891	28945	14175	0.490	380308	363818	2.198	13.129
Dysp_0170	240891	28945	18085	0.625	2534936	2442013	12.373	99.346
VMG_0171	240891	28945	18516	0.640	2444426	2350368	11.186	137.564
Dysp_0031	240891	28945	15798	0.546	913463	875056	4.978	50.133
Dysp_0034	240891	28945	15428	0.533	1233310	1187400	7.167	72.221
Dysp_0171	240891	28945	14143	0.489	588008	562163	3.458	26.704
Dysp_0100	240891	28945	17369	0.600	1104535	1060143	5.679	50.389
Dysp_0068	240891	28945	20104	0.695	9745302	9170282	43.377	445.200
Dysp_0158	240891	28945	16356	0.565	2055464	1981479	10.886	130.174
Dysp_0148	240891	28945	15892	0.549	643553	610877	3.612	28.588
Dysp_0145	240891	28945	17085	0.590	860437	829120	4.472	42.096
VMG_0092	240891	28945	16388	0.566	1293595	1217531	6.672	81.102
VMG_0145	240891	28945	15058	0.520	619672	586047	3.664	30.814
VMG_0137	240891	28945	16631	0.575	1608972	1544487	8.361	90.567
Dysp_0074	240891	28945	15900	0.549	529213	502344	2.473	13.618
