species_id	median_abundance	mean_abundance	median_coverage	mean_depth	sample_counts
240891	0.002	0.214	0.636	33.117	187
998576	0.000	0.001	0.000	0.001	0
994737	0.000	0.000	0.000	0.014	3
988627	0.000	0.002	0.000	1.194	34
988598	0.000	0.288	0.000	73.723	144
988285	0.000	0.000	0.000	0.000	0
987302	0.000	0.000	0.000	0.069	1
986066	0.000	0.000	0.000	0.000	0
978264	0.000	0.001	0.000	0.089	12
976363	0.000	0.043	0.000	44.342	83
972672	0.000	0.000	0.000	0.007	1
970355	0.000	0.000	0.000	0.006	1
966249	0.000	0.000	0.000	0.005	1
960341	0.000	0.000	0.000	0.000	0
959808	0.000	0.000	0.000	0.001	0
956728	0.000	0.000	0.000	0.040	3
952860	0.000	0.000	0.000	0.054	9
948444	0.000	0.000	0.000	0.002	0
946796	0.000	0.000	0.000	0.000	0
945663	0.000	0.000	0.000	0.000	0
943652	0.000	0.000	0.000	0.000	0
942410	0.000	0.000	0.000	0.000	0
941235	0.000	0.003	0.000	4.841	55
940775	0.000	0.004	0.000	0.178	3
936565	0.000	0.000	0.000	0.008	2
936138	0.000	0.000	0.000	0.006	1
936016	0.000	0.001	0.000	0.063	10
935817	0.000	0.000	0.000	0.013	4
931239	0.000	0.000	0.000	0.002	0
928247	0.000	0.000	0.000	0.002	1
927036	0.000	0.003	0.000	5.742	27
925082	0.000	0.000	0.000	0.000	0
921722	0.000	0.000	0.000	0.424	29
917406	0.000	0.000	0.000	0.000	0
916256	0.000	0.001	0.000	1.591	8
915707	0.000	0.000	0.000	0.000	0
915160	0.000	0.000	0.000	0.002	0
907952	0.000	0.000	0.000	0.003	1
904423	0.000	0.000	0.000	0.016	2
900875	0.000	0.006	0.000	4.322	43
900798	0.000	0.001	0.000	0.582	4
899308	0.000	0.005	0.000	0.611	23
897926	0.000	0.003	0.000	0.439	4
897911	0.000	0.000	0.000	0.085	4
895991	0.000	0.000	0.000	0.006	1
892290	0.000	0.000	0.000	0.049	10
890778	0.000	0.000	0.000	0.000	0
889878	0.000	0.000	0.000	0.000	0
880147	0.000	0.000	0.000	0.033	3
879858	0.000	0.000	0.000	0.046	2
879245	0.000	0.000	0.000	0.415	21
874075	0.000	0.000	0.000	0.000	0
865620	0.000	0.000	0.000	0.000	0
861111	0.000	0.005	0.000	0.166	11
858790	0.000	0.000	0.000	0.000	0
856589	0.000	0.000	0.000	0.756	27
856531	0.000	0.000	0.000	0.221	10
849845	0.000	0.000	0.000	0.051	3
845738	0.000	0.001	0.000	0.437	26
838832	0.000	0.000	0.000	0.000	0
837191	0.000	0.000	0.000	0.008	1
829633	0.000	0.008	0.000	13.474	62
828813	0.000	0.000	0.000	0.005	2
821619	0.000	0.000	0.000	0.026	3
819830	0.000	0.000	0.000	0.000	0
811118	0.000	0.000	0.000	0.005	0
807686	0.000	0.000	0.000	0.005	1
807249	0.000	0.000	0.000	0.000	0
806900	0.000	0.000	0.000	0.001	0
802866	0.000	0.000	0.000	0.053	3
797034	0.000	0.000	0.000	0.000	0
796000	0.000	0.000	0.000	0.009	2
791875	0.000	0.000	0.000	0.001	0
791236	0.000	0.000	0.000	0.147	8
788554	0.000	0.000	0.000	0.000	0
783244	0.000	0.076	0.000	61.451	116
781098	0.000	0.000	0.000	0.304	2
780008	0.000	0.000	0.000	0.000	0
779689	0.000	0.000	0.000	0.000	0
778592	0.000	0.000	0.000	0.007	2
773494	0.000	0.000	0.000	0.000	0
761596	0.000	0.000	0.000	0.009	2
759924	0.000	0.000	0.000	0.012	2
755152	0.000	0.000	0.000	0.006	1
753776	0.000	0.000	0.000	0.004	1
747817	0.000	0.000	0.000	0.010	1
743486	0.000	0.000	0.000	0.035	5
742202	0.000	0.000	0.000	0.015	2
741863	0.000	0.000	0.000	0.000	0
738524	0.000	0.000	0.000	0.491	13
736944	0.000	0.000	0.000	0.080	17
730662	0.000	0.000	0.000	0.000	0
728993	0.000	0.000	0.000	0.023	1
724912	0.000	0.000	0.000	0.000	0
721998	0.000	0.000	0.000	0.025	3
719869	0.000	0.002	0.000	2.674	13
717613	0.000	0.000	0.000	0.002	0
716122	0.000	0.000	0.000	0.006	2
715296	0.000	0.000	0.000	0.000	0
707110	0.000	0.000	0.000	0.000	0
706261	0.000	0.000	0.000	0.000	0
705861	0.000	0.001	0.000	0.042	1
703818	0.000	0.000	0.000	0.001	0
697982	0.000	0.000	0.000	0.000	0
697687	0.000	0.000	0.000	0.071	10
696853	0.000	0.006	0.000	6.516	14
692383	0.000	0.000	0.000	0.000	0
688626	0.000	0.000	0.000	0.000	0
683484	0.000	0.000	0.000	0.029	1
681331	0.000	0.000	0.000	0.239	2
679715	0.000	0.000	0.000	0.018	3
677509	0.000	0.000	0.000	0.004	1
675457	0.000	0.000	0.000	0.001	0
674615	0.000	0.000	0.000	0.045	3
674228	0.000	0.000	0.000	0.025	1
671161	0.000	0.000	0.000	0.006	1
670661	0.000	0.000	0.000	0.010	1
667911	0.000	0.000	0.000	0.002	0
667712	0.000	0.002	0.000	1.932	76
666345	0.000	0.000	0.000	0.014	1
665829	0.000	0.001	0.000	1.537	21
664635	0.000	0.000	0.000	0.015	1
664352	0.000	0.000	0.000	0.000	0
652998	0.000	0.002	0.000	2.150	16
649344	0.000	0.000	0.000	0.001	0
646243	0.000	0.000	0.000	0.761	21
643873	0.000	0.000	0.000	0.002	0
641693	0.000	0.000	0.000	0.001	0
638728	0.000	0.000	0.000	0.001	0
637395	0.000	0.000	0.000	0.000	0
633123	0.000	0.000	0.000	0.056	3
632380	0.000	0.000	0.000	0.085	6
629828	0.000	0.000	0.000	0.026	2
629237	0.000	0.000	0.000	0.003	0
626635	0.000	0.004	0.000	0.124	3
625126	0.000	0.000	0.000	0.364	8
623619	0.000	0.000	0.000	0.060	1
620611	0.000	0.000	0.000	0.019	1
619501	0.000	0.018	0.000	19.076	88
611554	0.000	0.023	0.000	3.269	37
608480	0.000	0.003	0.000	4.877	43
608033	0.000	0.000	0.000	0.010	2
