cluster_90_id	Dysp_0020	VMG_0002	Dysp_0056	Dysp_0004	Dysp_0120	Dysp_0008	Dysp_0032	Dysp_0152	Dysp_0083	VMG_0073	VMG_0080	Dysp_0007	VMG_0006	Dysp_0109	VMG_0038	Dysp_0123	VMG_0118	VMG_0024	VMG_0066	Dysp_0041	VMG_0001	VMG_0048	Dysp_0139	Dysp_0163	VMG_0072	VMG_0156	VMG_0057	VMG_0081	VMG_0159	VMG_0139	Dysp_0097	Dysp_0098	VMG_0147	Dysp_0108
SRR17284245.mbin.2_01169	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ERR10897770.sbin.1_00469	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
GCF_007785995.1_01316	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
SRR13167589.sbin.2_00626	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR4421600.sbin.2_01535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MG1413.sbin.1_01641	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
MG1301.sbin.2_00384	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1
MG1141.mbin.6_00982	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_000615125.1_01281	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0
ERR4421557.sbin.1_00524	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0
SRR17635483.mbin.8_01642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR10897749.sbin.1_00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_007785975.1_01636	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1
GCF_000439915.2_00414	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
SRR17635552.sbin.2_00867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERR10898244.sbin.4_00809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG562.mbin.2_00287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR4421598.sbin.1_01513	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	1
ERR4421578.sbin.1_00611	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1
ERR10898160.sbin.8_00076	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCF_007786065.1_00583	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERR3500850.mbin.4_00460	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCF_000155935.2_00171	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0
ERR10897611.sbin.1_01259	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1
ERR10897770.sbin.1_00784	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ERR10897832.sbin.2_01041	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
