cluster_90_id	Dysp_0057	Dysp_0038	Dysp_0131	Dysp_0076	Dysp_0036	VMG_0022	VMG_0158	VMG_0130	VMG_0123	VMG_0131	VMG_0155	VMG_0048	Dysp_0026	VMG_0078	VMG_0171	VMG_0090	Dysp_0141	Dysp_0019	Dysp_0061	VMG_0147	Dysp_0100	Dysp_0058	VMG_0016	VMG_0176	Dysp_0155	Dysp_0171	VMG_0023	VMG_0119	Dysp_0138	Dysp_0062	VMG_0062	Dysp_0063	Dysp_0127	VMG_0136	VMG_0037	Dysp_0031	VMG_0019	Dysp_0176	Dysp_0148	Dysp_0147	Dysp_0086	Dysp_0121	Dysp_0085	Dysp_0124	Dysp_0074	VMG_0093	VMG_0106	Dysp_0170	Dysp_0126	VMG_0145	Dysp_0156	Dysp_0053	VMG_0137	VMG_0063	VMG_0160	Dysp_0087	Dysp_0051	Dysp_0135	Dysp_0071	VMG_0092	Dysp_0099	Dysp_0166	Dysp_0050	Dysp_0024	VMG_0058	Dysp_0054	Dysp_0167	VMG_0177	VMG_0108	Dysp_0039	Dysp_0011	Dysp_0066	Dysp_0145	Dysp_0174
GCF_900445305.1_00067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG61.mbin.31_01030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P10709926.mbin.8_00899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SRR16916872.mbin.4_00811	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERR10898288.sbin.8_00005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR16916867.sbin.18_00161	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MG101.mbin.12_00902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
MG610.mbin.18_00966	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0
P10709776.mbin.2_00249	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0
SRR13167675.sbin.2_00085	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1
