sample_name	species_id	pangenome_size	covered_genes	fraction_covered	aligned_reads	mapped_reads	mean_depth	marker_depth
Dysp_0010	240891	29018	16372	0.564	1687195	1627223	9.031	104.636
Dysp_0007	240891	29018	12347	0.425	293884	283833	1.895	8.839
Dysp_0107	240891	29018	16364	0.564	3006664	2854287	15.176	177.125
Dysp_0047	240891	29018	15490	0.534	888243	845643	4.909	52.122
Dysp_0132	240891	29018	16905	0.583	2484681	2408048	13.220	123.062
Dysp_0111	240891	29018	17422	0.600	1194684	1153176	5.979	71.737
Dysp_0079	240891	29018	8741	0.301	302498	288701	3.476	3.898
Dysp_0023	240891	29018	11017	0.380	413860	400814	3.797	5.340
Dysp_0052	240891	29018	15910	0.548	947422	916892	5.194	52.529
Dysp_0042	240891	29018	15545	0.536	1262653	1227491	6.913	75.499
Dysp_0021	240891	29018	10692	0.368	148541	143651	1.213	10.272
Dysp_0118	240891	29018	13038	0.449	688963	664279	5.400	11.537
Dysp_0046	240891	29018	11150	0.384	255430	247673	1.428	6.375
Dysp_0067	240891	29018	15959	0.550	2187621	2083392	11.780	139.802
Dysp_0096	240891	29018	8279	0.285	772812	734105	9.438	3.247
Dysp_0030	240891	29018	9132	0.315	164772	159466	1.110	3.883
Dysp_0001	240891	29018	18289	0.630	4724129	4481492	22.583	279.963
Dysp_0037	240891	29018	16241	0.560	2786077	2693531	14.841	160.865
Dysp_0002	240891	29018	17614	0.607	6281470	6048806	32.357	382.623
Dysp_0162	240891	29018	15010	0.517	1172031	1127981	7.303	23.021
Dysp_0078	240891	29018	16007	0.552	1614958	1522576	8.531	97.470
Dysp_0035	240891	29018	11062	0.381	266743	232561	1.957	7.414
Dysp_0144	240891	29018	19174	0.661	4289053	4141099	19.127	268.755
Dysp_0069	240891	29018	16238	0.560	1305513	1259562	6.272	53.057
Dysp_0157	240891	29018	17087	0.589	3258587	3150848	16.558	196.582
Dysp_0115	240891	29018	14903	0.514	630359	558423	3.216	11.683
Dysp_0129	240891	29018	16775	0.578	1584292	1537800	8.291	94.573
Dysp_0076	240891	29018	16967	0.585	1010937	923698	5.203	44.988
Dysp_0081	240891	29018	15763	0.543	2517574	2385452	13.441	144.034
