sample,num_reads
Dysp_0001,9958706
Dysp_0002,7329914
Dysp_0003,1136536
Dysp_0004,8973572
Dysp_0005,14572788
Dysp_0006,27547064
Dysp_0007,1256920
Dysp_0008,2513056
Dysp_0009,22686676
Dysp_0010,1968478
Dysp_0011,60179750
Dysp_0012,535870
Dysp_0013,92444350
Dysp_0014,3382354
Dysp_0015,3311500
Dysp_0016,16142232
Dysp_0017,4821902
Dysp_0018,17820162
Dysp_0019,27496286
Dysp_0020,2734062
Dysp_0021,2089322
Dysp_0022,5459126
Dysp_0023,7619824
Dysp_0024,57831844
Dysp_0025,1580214
Dysp_0026,1586840
Dysp_0027,425700
Dysp_0028,5514442
Dysp_0029,21169052
Dysp_0030,580312
Dysp_0031,29234316
Dysp_0032,437818
Dysp_0033,5238268
Dysp_0034,15467988
Dysp_0035,2837418
Dysp_0036,2820370
Dysp_0037,3247952
Dysp_0038,6450708
Dysp_0039,99773780
Dysp_0040,1231438
Dysp_0041,778168
Dysp_0042,1459438
Dysp_0043,6633414
Dysp_0044,3632620
Dysp_0045,911734
Dysp_0046,364342
Dysp_0047,1123070
Dysp_0048,496632
Dysp_0049,575660
Dysp_0050,97580472
Dysp_0051,82373626
Dysp_0052,2888246
Dysp_0053,108064394
Dysp_0054,65343106
Dysp_0055,510398
Dysp_0056,5082638
Dysp_0057,21487836
Dysp_0058,6867456
Dysp_0059,10836908
Dysp_0060,3190886
Dysp_0061,14938018
Dysp_0062,53849584
Dysp_0063,43698436
Dysp_0064,8885422
Dysp_0065,11292080
Dysp_0066,54837706
Dysp_0067,2686512
Dysp_0068,54868984
Dysp_0069,1563814
Dysp_0070,7974850
Dysp_0071,70432138
Dysp_0072,546392
Dysp_0073,769686
Dysp_0074,57833148
Dysp_0075,8642552
Dysp_0076,20335238
Dysp_0077,1516928
Dysp_0078,4735992
Dysp_0079,5627526
Dysp_0080,29642478
Dysp_0081,3409068
Dysp_0082,2113930
Dysp_0083,10196226
Dysp_0084,2647712
Dysp_0085,74359964
Dysp_0086,49098722
Dysp_0087,93248156
Dysp_0088,5859988
Dysp_0089,15142722
Dysp_0090,1578310
Dysp_0091,5726774
Dysp_0092,1772182
Dysp_0093,12523892
Dysp_0094,8680102
Dysp_0095,23096152
Dysp_0096,18215806
Dysp_0097,13836084
Dysp_0098,21005168
Dysp_0099,100828224
Dysp_0100,21495480
Dysp_0101,3868270
Dysp_0102,4007676
Dysp_0103,2575662
Dysp_0104,18669540
Dysp_0105,12279624
Dysp_0106,5715978
Dysp_0107,4270528
Dysp_0108,19322806
Dysp_0109,20704324
Dysp_0110,5662190
Dysp_0111,1706404
Dysp_0112,7936176
Dysp_0113,2931060
Dysp_0114,30120772
Dysp_0115,14344550
Dysp_0116,4258100
Dysp_0117,8089578
Dysp_0118,11089256
Dysp_0119,7896276
Dysp_0120,1840918
Dysp_0121,71015030
Dysp_0122,5046394
Dysp_0123,5574292
Dysp_0124,53610192
Dysp_0125,2016882
Dysp_0126,55650908
Dysp_0127,82581590
Dysp_0128,12916624
Dysp_0129,2263252
Dysp_0130,17215156
Dysp_0131,841748
Dysp_0132,10360382
Dysp_0133,1550010
Dysp_0134,14052030
Dysp_0135,47794692
Dysp_0136,14226774
Dysp_0137,1723242
Dysp_0138,39325762
Dysp_0139,7460492
Dysp_0140,2315084
Dysp_0141,15127018
Dysp_0142,16180332
Dysp_0143,3953200
Dysp_0144,5681450
Dysp_0145,47154014
Dysp_0146,2102340
Dysp_0147,47311148
Dysp_0148,73118606
Dysp_0149,9816086
Dysp_0150,3537578
Dysp_0151,18440750
Dysp_0152,5047436
Dysp_0153,6891346
Dysp_0154,1727266
Dysp_0155,64767564
Dysp_0156,88410626
Dysp_0157,3848498
Dysp_0158,25092728
Dysp_0159,1084026
Dysp_0160,1195800
Dysp_0161,2415390
Dysp_0162,20258938
Dysp_0163,7202178
Dysp_0164,22493002
Dysp_0165,873846
Dysp_0166,70801798
Dysp_0167,28803396
Dysp_0168,5971138
Dysp_0169,3432214
Dysp_0170,29547850
Dysp_0171,31817644
Dysp_0172,1910038
Dysp_0173,4267150
Dysp_0174,54031658
Dysp_0175,5856160
Dysp_0176,84155732
Dysp_0177,7574640
Neg_extr_01,25944
Neg_extr_02,11886
Neg_extr_03,2870
Neg_extr_04,1082
Neg_extr_05,34192
Neg_extr_06,34474
Neg_extr_07,29308
Neg_extr_08,28028
Neg_extr_09,6936
Neg_extr_10,9424
Neg_extr_11,54348
Neg_extr_12,2200
Neg_extr_13,50108
Neg_extr_14,55574
Neg_extr_15,88550
Neg_extr_16,9424
Neg_extr_17,6936
Neg_seq_01,7676
Neg_seq_02,30248
Neg_seq_03,16730
Neg_seq_04,2120
Neg_seq_05,2890
Neg_seq_06,33264
Neg_seq_07,27930
Neg_seq_08,2536
Neg_seq_09,171138
VMG_0001,4094644
VMG_0002,4371202
VMG_0003,11078294
VMG_0004,300806
VMG_0005,18166200
VMG_0006,12963374
VMG_0007,20784968
VMG_0008,1946422
VMG_0009,8089906
VMG_0010,1526788
VMG_0011,3455136
VMG_0012,4924198
VMG_0013,2355264
VMG_0014,1739826
VMG_0015,1193728
VMG_0016,20068858
VMG_0017,24056010
VMG_0018,1673530
VMG_0019,47782984
VMG_0020,6751878
VMG_0021,484222
VMG_0022,10473760
VMG_0023,74582434
VMG_0024,4897100
VMG_0025,9695586
VMG_0026,16612494
VMG_0027,29772666
VMG_0028,3518818
VMG_0029,15671772
VMG_0030,9778330
VMG_0031,2762630
VMG_0032,3072450
VMG_0033,2323712
VMG_0034,8922852
VMG_0035,8055116
VMG_0036,12152354
VMG_0037,60379760
VMG_0038,4217772
VMG_0039,4264148
VMG_0040,1158856
VMG_0041,3548930
VMG_0042,12054654
VMG_0043,457914
VMG_0044,2384214
VMG_0045,3326426
VMG_0046,1680772
VMG_0047,19093380
VMG_0048,13330706
VMG_0049,20355696
VMG_0050,35716932
VMG_0051,11976038
VMG_0052,7878652
VMG_0054,1534596
VMG_0055,4671816
VMG_0056,9230660
VMG_0057,581578
VMG_0058,26241524
VMG_0059,5181234
VMG_0060,2899688
VMG_0061,9933164
VMG_0062,39265380
VMG_0063,33521542
VMG_0064,8728972
VMG_0065,3296226
VMG_0066,1429702
VMG_0067,558388
VMG_0068,20459680
VMG_0069,3843044
VMG_0070,539904
VMG_0071,3666982
VMG_0072,1399368
VMG_0073,3085908
VMG_0074,9157018
VMG_0075,16092086
VMG_0076,5954872
VMG_0077,3541666
VMG_0078,8627612
VMG_0079,8479032
VMG_0080,2939716
VMG_0081,950810
VMG_0082,4620124
VMG_0083,1363732
VMG_0084,1307630
VMG_0085,5796504
VMG_0086,0
VMG_0087,25605008
VMG_0088,12320310
VMG_0089,875656
VMG_0090,16797272
VMG_0091,3751764
VMG_0092,27922248
VMG_0093,77011402
VMG_0094,18519324
VMG_0095,6890376
VMG_0096,13117626
VMG_0097,2377916
VMG_0098,33270950
VMG_0099,444992
VMG_0100,9684590
VMG_0101,4361204
VMG_0102,6388948
VMG_0103,2964080
VMG_0104,5370168
VMG_0105,307480
VMG_0106,105709904
VMG_0107,1006596
VMG_0108,64276750
VMG_0109,3514374
VMG_0110,859480
VMG_0111,16689350
VMG_0112,2811470
VMG_0113,19345758
VMG_0114,4341790
VMG_0115,9988908
VMG_0116,3135970
VMG_0117,5838024
VMG_0118,6228770
VMG_0119,33244176
VMG_0120,6932102
VMG_0121,18903110
VMG_0122,812052
VMG_0123,10533766
VMG_0124,3201174
VMG_0125,994924
VMG_0126,1100752
VMG_0127,4335136
VMG_0128,10496058
VMG_0129,3237044
VMG_0130,7026518
VMG_0131,2017634
VMG_0132,3870846
VMG_0133,8803480
VMG_0134,1832792
VMG_0135,31922294
VMG_0136,68813708
VMG_0137,43759418
VMG_0138,2582602
VMG_0139,6052096
VMG_0140,3072852
VMG_0141,1684828
VMG_0142,24612458
VMG_0143,1553244
VMG_0144,23205386
VMG_0145,59642804
VMG_0146,1861300
VMG_0147,18383912
VMG_0148,4919504
VMG_0149,8255492
VMG_0150,6089918
VMG_0151,10833878
VMG_0152,360760
VMG_0153,4236938
VMG_0154,2311612
VMG_0155,8300306
VMG_0156,7420058
VMG_0157,1869828
VMG_0158,9892784
VMG_0159,8354970
VMG_0160,60255724
VMG_0161,28934374
VMG_0162,12215652
VMG_0163,25575088
VMG_0164,19585930
VMG_0165,1883556
VMG_0166,864684
VMG_0167,5516590
VMG_0168,3047616
VMG_0169,6567976
VMG_0170,1866802
VMG_0171,26737784
VMG_0172,1232030
VMG_0173,11548072
VMG_0174,277044
VMG_0175,3969784
VMG_0176,19713244
VMG_0177,41847100
