Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1007676	1007676	Companilactobacillus ginsenosidimutans	Zheng et al. 2020	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus ginsenosidimutans	1007676	TRUE
1042399	1042399	Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1632		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus delbrueckii	1584	FALSE
104955	104955	Limosilactobacillus frumenti	(Müller et al. 2000) Zheng et al. 2020	SPECIES	Lactobacillus frumenti	Muller et al. 2000		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Limosilactobacillus	2742598	Limosilactobacillus frumenti	104955	TRUE
1054041	1054041	Levilactobacillus yonginensis	(Yi et al. 2013) Zheng et al. 2020	SPECIES	Lactobacillus yonginensis	Yi et al. 2013		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Levilactobacillus	2767886	Levilactobacillus yonginensis	1054041	TRUE
105612	105612	Dellaglioa algida	(Kato et al. 2000) Zheng et al. 2020	SPECIES	Lactobacillus algidus	Kato et al. 2000		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Dellaglioa	2767880	Dellaglioa algida	105612	TRUE
1074467	1074467	Companilactobacillus heilongjiangensis	(Gu et al. 2013) Zheng et al. 2020	SPECIES	Lactobacillus heilongjiangensis	Gu et al. 2013		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus heilongjiangensis	1074467	TRUE
109790	109790	Lactobacillus jensenii	Gasser et al. 1970	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus jensenii	109790	TRUE
1122151	1122151	Companilactobacillus paralimentarius DSM 13238 = JCM 10415		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Companilactobacillus	2767879	Companilactobacillus paralimentarius	83526	FALSE
116089	116089	Lactobacillus psittaci	Lawson et al. 2001	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus psittaci	116089	TRUE
1202668	1202668	Secundilactobacillus oryzae	(Tohno et al. 2013) Zheng et al. 2020	SPECIES	Lactobacillus oryzae	Tohno et al. 2013		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Secundilactobacillus	2767892	Secundilactobacillus oryzae	1202668	TRUE
1203033	1203033	Lactobacillus hominis	Cousin et al. 2013	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus hominis	1203033	TRUE
1203069	1203069	Lactobacillus gigeriorum	Cousin et al. 2012	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus gigeriorum	1203069	TRUE
1218493	1218493	Lactobacillus kullabergensis	Olofsson et al. 2014	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus kullabergensis	1218493	TRUE
1218494	1218494	Lactobacillus helsingborgensis	Olofsson et al. 2014	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus helsingborgensis	1218494	TRUE
1218507	1218507	Lactobacillus melliventris	Olofsson et al. 2014	SPECIES				yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Lactobacillus	1578	Lactobacillus melliventris	1218507	TRUE
1227275	1227275	Streptococcus sobrinus W1703		STRAIN				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Streptococcaceae	1300	Streptococcus	1301	Streptococcus sobrinus	1310	FALSE
1239	1239	Bacillota	Gibbons and Murray 2021	PHYLUM			firmicutes	no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239											FALSE
1247	1247	Oenococcus oeni	(Garvie 1967) Dicks et al. 1995	SPECIES	Leuconostoc oeni	corrig. Garvie 1967 (Approved Lists 1980)		yes	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Oenococcus	46254	Oenococcus oeni	1247	TRUE
1253	1253	Pediococcus	Claussen 1903	GENUS				no	firmicutes	Bacteria	2	Bacillati	1783272	Bacillota	1239	Bacilli	91061	Lactobacillales	186826	Lactobacillaceae	33958	Pediococcus	1253			TRUE
