gene,group
GCF_027157565.1_02352,CAG_0
MG1174.sbin.7_00197,CAG_1
GCF_004361515.1_01384,CAG_2
GCF_019278055.1_00650,CAG_3
ERR10897926.sbin.2_00559,CAG_4
ERR10897720.sbin.1_00160,CAG_5
SRR12018792.sbin.1_01120,CAG_6
ERR10897595.sbin.1_00239,CAG_7
ERR10897690.sbin.1_01060,CAG_8
SRR13167502.sbin.1_02052,CAG_9
ERR10897603.sbin.1_01548,CAG_10
MG1067.sbin.2_00028,CAG_11
ERR10897836.sbin.4_00681,CAG_12
ERR10897587.sbin.1_00023,CAG_13
MG334.mbin.2_00182,CAG_14
GCF_001541505.1_00769,CAG_15
ERR10897723.sbin.1_00197,CAG_16
ERR10897595.sbin.1_00240,CAG_17
ERR2244528.sbin.1_01790,CAG_18
ERR10897603.sbin.1_01530,CAG_19
ERR4705234.mbin.1_00090,CAG_20
ERR10897901.sbin.1_00464,CAG_21
MG1327.mbin.19_00691,CAG_22
SRR6748176.mbin.2_00702,CAG_23
MG990.sbin.2_00460,CAG_24
ERR10898011.sbin.1_01760,CAG_25
GCF_008868575.1_01177,CAG_26
GCF_001541535.1_01343,CAG_27
ERR10897589.mbin.1_00618,CAG_28
ERR10898281.mbin.3_00514,CAG_29
ERR10897583.sbin.2_00863,CAG_30
GCF_008079315.1_00069,CAG_31
ERR10897572.mbin.3_00035,CAG_32
ERR10897582.sbin.1_01214,CAG_33
ERR10897603.sbin.1_01549,CAG_34
SRR12018779.sbin.1_00294,CAG_35
ERR10897583.sbin.2_00629,CAG_36
GCF_027160285.1_01939,CAG_37
ERR10897582.sbin.1_01938,CAG_38
ERR10897603.sbin.1_01496,CAG_39
ERR10897572.mbin.3_00338,CAG_40
SRR16916845.mbin.12_00668,CAG_41
ERR10897595.sbin.1_00657,CAG_42
MG1121.mbin.14_01211,CAG_43
ERR2244528.sbin.1_01151,CAG_44
SRR10258564.sbin.2_00620,CAG_45
ERR10897887.sbin.1_01042,CAG_46
GCF_000301115.1_01807,CAG_47
ERR10897595.sbin.1_00231,CAG_48
SRR12018805.sbin.1_00843,CAG_49
ERR10897582.sbin.1_01941,CAG_50
GCF_027153505.1_01823,CAG_51
ERR10897598.mbin.1_00535,CAG_52
ERR10897595.sbin.1_00650,CAG_53
ERR10898148.sbin.1_01039,CAG_54
GCF_021278925.1_01332,CAG_55
ERR10897587.sbin.1_01176,CAG_56
MG865.sbin.4_00076,CAG_57
ERR10897708.sbin.2_00574,CAG_58
SRR17635606.sbin.2_00541,CAG_59
ERR10897906.sbin.3_00186,CAG_60
P10708893.mbin.5_01018,CAG_61
ERR10897712.mbin.5_00014,CAG_62
MG374.sbin.2_00560,CAG_63
ERR10897598.mbin.1_00533,CAG_64
GCF_000466885.3_00730,CAG_65
SRR21425790.sbin.2_00293,CAG_66
ERR10897603.sbin.1_01547,CAG_67
ERR10897690.sbin.1_00882,CAG_68
GCF_001546025.1_01392,CAG_69
ERR10897583.sbin.2_00283,CAG_70
ERR10897763.sbin.2_00812,CAG_71
GCF_000301115.1_01552,CAG_72
ERR10897598.mbin.1_00532,CAG_73
ERR10897712.mbin.5_00012,CAG_74
ERR10897794.sbin.1_00995,CAG_75
ERR4421622.sbin.2_01254,CAG_76
ERR10897599.sbin.5_01993,CAG_77
ERR10897582.sbin.1_01071,CAG_78
ERR10897587.sbin.1_01679,CAG_79
ERR10897779.mbin.3_00888,CAG_80
ERR10897779.mbin.3_00881,CAG_81
ERR10897582.sbin.1_01943,CAG_82
ERR10897599.sbin.5_00480,CAG_83
SRR13694834.sbin.3_00009,CAG_84
ERR10897572.mbin.3_00037,CAG_85
MG1120.sbin.6_00212,CAG_86
ERR10897717.sbin.2_00456,CAG_87
GCF_027160285.1_00351,CAG_88
ERR10898274.sbin.6_01988,CAG_89
GCF_004361515.1_01598,CAG_90
ERR10897572.mbin.3_00441,CAG_91
ERR10897880.mbin.2_00516,CAG_92
SRR13167627.mbin.2_00545,CAG_93
ERR10897583.sbin.2_00825,CAG_94
ERR10897595.sbin.1_01415,CAG_95
ERR10897653.mbin.1_00068,CAG_96
GCF_016162145.1_01069,CAG_97
ERR10897582.sbin.1_01926,CAG_98
ERR10897583.sbin.2_00284,CAG_99
GCF_004361455.1_02009,CAG_100
ERR10897595.sbin.1_00235,CAG_101
MG343.sbin.11_00202,CAG_102
SRR16916879.sbin.7_00637,CAG_103
GCF_027153255.1_02151,CAG_104
ERR10897603.sbin.1_01546,CAG_105
ERR10897594.sbin.1_00456,CAG_106
ERR10897595.sbin.1_00648,CAG_107
ERR4421599.sbin.2_01231,CAG_108
GCF_004361465.1_01968,CAG_109
MG1051.mbin.2_00353,CAG_110
ERR10897595.sbin.1_01417,CAG_111
SRR21425827.sbin.1_00447,CAG_112
ERR10897582.sbin.1_01744,CAG_113
GCF_001541585.1_01172,CAG_114
ERR10897582.sbin.1_01935,CAG_115
GCF_000165885.1_00762,CAG_116
ERR10897594.sbin.1_00612,CAG_117
GCF_004361395.1_01708,CAG_118
ERR10897595.sbin.1_00631,CAG_119
ERR10897582.sbin.1_01942,CAG_120
ERR10897595.sbin.1_00591,CAG_121
GCF_021278925.1_01503,CAG_122
ERR10897582.sbin.1_01934,CAG_123
GCF_000301115.1_01434,CAG_124
ERR10897749.sbin.6_01434,CAG_125
ERR10897572.mbin.3_00034,CAG_126
ERR10897582.sbin.1_00701,CAG_127
ERR10897857.sbin.2_01610,CAG_128
GCF_008868575.1_02122,CAG_129
ERR10897587.sbin.1_00026,CAG_130
ERR10897595.sbin.1_00654,CAG_131
ERR10897587.sbin.1_00029,CAG_132
ERR10897779.mbin.3_00294,CAG_133
ERR10897587.sbin.1_01455,CAG_134
MG862.sbin.3_00492,CAG_135
GCF_021278925.1_02084,CAG_136
ERR10897979.sbin.2_00762,CAG_137
ERR10897909.sbin.1_00723,CAG_138
GCF_014654865.1_01418,CAG_139
ERR10897582.sbin.1_01225,CAG_140
ERR4421622.sbin.2_01193,CAG_141
SRR17635712.mbin.7_01059,CAG_142
SRR13900359.sbin.2_01010,CAG_143
ERR10897582.sbin.1_01147,CAG_144
ERR10897779.mbin.3_01107,CAG_145
GCF_004361635.1_01255,CAG_146
ERR10897670.sbin.3_01543,CAG_147
