,PFAM,count,p,enrichment,species,p_BHadj
34,HTH_1,16,0.004995004995004995,VMGC,240891,0.1501831501831502
35,LysR_substrate,13,0.00999000999000999,VMGC,240891,0.1501831501831502
12,DDE_Tnp_1,11,0.01098901098901099,VMGC,240891,0.1501831501831502
0,Methylase_S,129,0.017982017982017984,VMGC,240891,0.18431568431568432
4,MethyltransfD12,12,0.04195804195804196,VMGC,240891,0.24575424575424576
17,rve,16,0.04295704295704296,VMGC,240891,0.24575424575424576
23,DUF4143,13,0.04395604395604396,VMGC,240891,0.24575424575424576
38,HNH,15,0.04795204795204795,VMGC,240891,0.24575424575424576
27,Fic,18,0.07892107892107893,VMGC,240891,0.35952935952935955
29,LacI,15,0.14485514485514486,VMGC,240891,0.39593739593739596
14,HTH_3,61,0.13686313686313686,VMGC,240891,0.39593739593739596
10,MerR_1,12,0.13586413586413587,VMGC,240891,0.39593739593739596
22,AAA_14,10,0.1108891108891109,VMGC,240891,0.39593739593739596
39,TetR_N,16,0.11588411588411589,VMGC,240891,0.39593739593739596
2,N6_N4_Mtase,41,0.12087912087912088,VMGC,240891,0.39593739593739596
31,PTS_EIIC,15,0.15884115884115885,VMGC,240891,0.4070304695304695
8,Bro-N,38,0.17282717282717283,VMGC,240891,0.4164169164169164
15,LytTR,11,0.18281718281718282,VMGC,240891,0.4164169164169164
25,Gram_pos_anchor,16,0.1938061938061938,VMGC,240891,0.41821336558178657
18,Peptidase_M78,13,0.21478521478521478,VMGC,240891,0.4403096903096903
26,ABC_membrane,33,0.26973026973026976,VMGC,240891,0.5266162409019552
28,SLAP,11,0.3046953046953047,VMGC,240891,0.5538374668809452
21,Resolvase,24,0.3106893106893107,VMGC,240891,0.5538374668809452
40,Peripla_BP_3,11,0.34965034965034963,VMGC,240891,0.5973193473193473
13,Recombinase,15,0.3776223776223776,VMGC,240891,0.6193006993006993
16,HTH_21,10,0.3946053946053946,VMGC,240891,0.6222623530315838
36,SIS,10,0.4225774225774226,VMGC,240891,0.6416916416916417
24,RelB,21,0.4485514485514486,VMGC,240891,0.6568074782360497
19,ANT,13,0.6513486513486514,VMGC,240891,0.8852437884695948
32,NUDIX,10,0.6693306693306693,VMGC,240891,0.8852437884695948
5,HTH_26,19,0.6363636363636364,VMGC,240891,0.8852437884695948
3,Phage_integrase,23,0.7332667332667333,VMGC,240891,0.939498001998002
7,DNA_methylase,20,0.7792207792207793,VMGC,240891,0.9681227863046045
11,TypeIII_RM_meth,11,0.8241758241758241,VMGC,240891,0.9938590820943762
20,MFS_1,18,0.8511488511488512,VMGC,240891,0.9970600827743685
37,BPD_transp_1,13,0.999000999000999,VMGC,240891,1.0
9,N6_Mtase,17,0.9690309690309691,VMGC,240891,1.0
1,ABC_tran,89,0.983016983016983,VMGC,240891,1.0
30,Helicase_C,11,0.995004995004995,VMGC,240891,1.0
6,ResIII,18,0.996003996003996,VMGC,240891,1.0
33,YSIRK_signal,11,1.0,VMGC,240891,1.0
