genome,species,representative,genome_is_representative,database,genome_type,species_name,source
GCF_000439915.2,611554,GCF_000439915.2,1,shared,isolate,Lactobacillus gasseri,FRT
SRR17284223.mbin.1,240891,SRR17284223.mbin.1,1,VMGC,MAG,Lactobacillus iners,FRT
SRR10258542.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG329.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709414.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167624.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16470976.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000175055.1,611554,GCF_000439915.2,0,shared,isolate,Lactobacillus gasseri,FRT
MG291.mbin.12,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG380.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG146.sbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG442.mbin.11,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
ERR4421612.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG842.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG701.mbin.17,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG672.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_011058715.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
SRR10258561.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SAMN00087373.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR12830912.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG96.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR11749265.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000176995.2,611554,GCF_000439915.2,0,shared,isolate,Lactobacillus gasseri,FRT
ERR2244505.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG369.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR16471034.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG37.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000179955.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
SRR13694753.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
P10709200.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000179995.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
SRR17284179.sbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG330.mbin.12,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG467.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG234.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR13167693.mbin.6,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GCF_000162255.1,988598,GCF_000162255.1,1,shared,isolate,Lactobacillus crispatus,FRT
MG511.mbin.2,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG399.mbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG489.mbin.1,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
