,species_name,cluster_level,VMGC_pangenome_size,GTDB_pangenome_size,VMGC_species_code,MIDAS_species_code,VMGC_num_genomes,MIDAS_num_genomes,larger_pangenome,pangenome_size_diff
0,Lactobacillus iners,75,5545,1854,240891,100505,1876,31,VMGC,-3691
1,Lactobacillus iners,80,5742,1871,240891,100505,1876,31,VMGC,-3871
2,Lactobacillus iners,85,6016,1910,240891,100505,1876,31,VMGC,-4106
3,Lactobacillus iners,90,6602,1966,240891,100505,1876,31,VMGC,-4636
4,Lactobacillus iners,95,8443,2146,240891,100505,1876,31,VMGC,-6297
5,Lactobacillus iners,99,28945,5767,240891,100505,1876,31,VMGC,-23178
6,Fannyhessea vaginae,75,4454,1372,619501,103895,786,5,VMGC,-3082
7,Fannyhessea vaginae,80,4719,1383,619501,103895,786,5,VMGC,-3336
8,Fannyhessea vaginae,85,5171,1393,619501,103895,786,5,VMGC,-3778
9,Fannyhessea vaginae,90,6256,1448,619501,103895,786,5,VMGC,-4808
10,Fannyhessea vaginae,95,11859,1830,619501,103895,786,5,VMGC,-10029
11,Fannyhessea vaginae,99,99104,3133,619501,103895,786,5,VMGC,-95971
12,Bifidobacterium vaginale,75,4287,2098,783244,100323,700,49,VMGC,-2189
13,Bifidobacterium vaginale,80,4630,2152,783244,100323,700,49,VMGC,-2478
14,Bifidobacterium vaginale,85,5296,2254,783244,100323,700,49,VMGC,-3042
15,Bifidobacterium vaginale,90,6618,2467,783244,100323,700,49,VMGC,-4151
16,Bifidobacterium vaginale,95,11086,3495,783244,100323,700,49,VMGC,-7591
17,Bifidobacterium vaginale,99,55339,11502,783244,100323,700,49,VMGC,-43837
18,Lactobacillus crispatus,75,8737,7249,988598,100122,856,128,VMGC,-1488
19,Lactobacillus crispatus,80,9071,7496,988598,100122,856,128,VMGC,-1575
20,Lactobacillus crispatus,85,9699,8011,988598,100122,856,128,VMGC,-1688
21,Lactobacillus crispatus,90,10704,8817,988598,100122,856,128,VMGC,-1887
22,Lactobacillus crispatus,95,13044,10684,988598,100122,856,128,VMGC,-2360
23,Lactobacillus crispatus,99,22984,18998,988598,100122,856,128,VMGC,-3986
24,Prevotella amnii,75,5180,2474,498055,103792,513,5,VMGC,-2706
25,Prevotella amnii,80,5407,2510,498055,103792,513,5,VMGC,-2897
26,Prevotella amnii,85,5694,2573,498055,103792,513,5,VMGC,-3121
27,Prevotella amnii,90,6248,2667,498055,103792,513,5,VMGC,-3581
28,Prevotella amnii,95,7533,2817,498055,103792,513,5,VMGC,-4716
29,Prevotella amnii,99,25498,4502,498055,103792,513,5,VMGC,-20996
30,Dialister sp001553355,75,5233,1341,667712,138050,483,1,VMGC,-3892
31,Dialister sp001553355,80,5469,1343,667712,138050,483,1,VMGC,-4126
32,Dialister sp001553355,85,5849,1343,667712,138050,483,1,VMGC,-4506
33,Dialister sp001553355,90,6662,1343,667712,138050,483,1,VMGC,-5319
34,Dialister sp001553355,95,9035,1344,667712,138050,483,1,VMGC,-7691
35,Dialister sp001553355,99,84028,1344,667712,138050,483,1,VMGC,-82684
36,Prevotella timonensis_A,75,12264,2874,941235,108095,417,3,VMGC,-9390
37,Prevotella timonensis_A,80,12839,2909,941235,108095,417,3,VMGC,-9930
38,Prevotella timonensis_A,85,13861,2993,941235,108095,417,3,VMGC,-10868
39,Prevotella timonensis_A,90,15916,3081,941235,108095,417,3,VMGC,-12835
40,Prevotella timonensis_A,95,23120,3366,941235,108095,417,3,VMGC,-19754
41,Prevotella timonensis_A,99,162848,6093,941235,108095,417,3,VMGC,-156755
42,Bifidobacterium vaginale_A,75,3668,1195,927036,115188,357,2,VMGC,-2473
43,Bifidobacterium vaginale_A,80,3906,1196,927036,115188,357,2,VMGC,-2710
44,Bifidobacterium vaginale_A,85,4370,1203,927036,115188,357,2,VMGC,-3167
45,Bifidobacterium vaginale_A,90,5076,1214,927036,115188,357,2,VMGC,-3862
46,Bifidobacterium vaginale_A,95,7095,1258,927036,115188,357,2,VMGC,-5837
47,Bifidobacterium vaginale_A,99,22298,1566,927036,115188,357,2,VMGC,-20732
48,Parvimonas sp001552895,75,4188,1415,921722,132856,334,1,VMGC,-2773
49,Parvimonas sp001552895,80,4299,1415,921722,132856,334,1,VMGC,-2884
50,Parvimonas sp001552895,85,4503,1415,921722,132856,334,1,VMGC,-3088
51,Parvimonas sp001552895,90,4892,1416,921722,132856,334,1,VMGC,-3476
52,Parvimonas sp001552895,95,6121,1418,921722,132856,334,1,VMGC,-4703
53,Parvimonas sp001552895,99,17283,1418,921722,132856,334,1,VMGC,-15865
54,Lactobacillus jensenii,75,2996,1977,571325,100515,327,29,VMGC,-1019
55,Lactobacillus jensenii,80,3074,2012,571325,100515,327,29,VMGC,-1062
56,Lactobacillus jensenii,85,3181,2048,571325,100515,327,29,VMGC,-1133
57,Lactobacillus jensenii,90,3353,2113,571325,100515,327,29,VMGC,-1240
58,Lactobacillus jensenii,95,3738,2295,571325,100515,327,29,VMGC,-1443
59,Lactobacillus jensenii,99,4820,2695,571325,100515,327,29,VMGC,-2125
60,Bifidobacterium vaginale_C,75,4163,1320,696853,105507,292,4,VMGC,-2843
61,Bifidobacterium vaginale_C,80,4529,1337,696853,105507,292,4,VMGC,-3192
62,Bifidobacterium vaginale_C,85,5218,1356,696853,105507,292,4,VMGC,-3862
63,Bifidobacterium vaginale_C,90,6547,1430,696853,105507,292,4,VMGC,-5117
64,Bifidobacterium vaginale_C,95,11003,1875,696853,105507,292,4,VMGC,-9128
65,Bifidobacterium vaginale_C,99,48154,3465,696853,105507,292,4,VMGC,-44689
66,Sneathia sanguinegens,75,3299,1360,581434,116436,292,2,VMGC,-1939
67,Sneathia sanguinegens,80,3405,1362,581434,116436,292,2,VMGC,-2043
68,Sneathia sanguinegens,85,3605,1370,581434,116436,292,2,VMGC,-2235
69,Sneathia sanguinegens,90,4011,1379,581434,116436,292,2,VMGC,-2632
70,Sneathia sanguinegens,95,5106,1397,581434,116436,292,2,VMGC,-3709
71,Sneathia sanguinegens,99,16308,1736,581434,116436,292,2,VMGC,-14572
72,Prevotella sp000758925,75,6093,2242,382359,125435,274,1,VMGC,-3851
73,Prevotella sp000758925,80,6237,2256,382359,125435,274,1,VMGC,-3981
74,Prevotella sp000758925,85,6454,2263,382359,125435,274,1,VMGC,-4191
75,Prevotella sp000758925,90,6817,2271,382359,125435,274,1,VMGC,-4546
76,Prevotella sp000758925,95,7954,2275,382359,125435,274,1,VMGC,-5679
77,Prevotella sp000758925,99,21736,2276,382359,125435,274,1,VMGC,-19460
78,Aerococcus christensenii,75,2555,1685,542621,105820,260,4,VMGC,-870
79,Aerococcus christensenii,80,2642,1701,542621,105820,260,4,VMGC,-941
80,Aerococcus christensenii,85,2738,1721,542621,105820,260,4,VMGC,-1017
81,Aerococcus christensenii,90,2933,1732,542621,105820,260,4,VMGC,-1201
82,Aerococcus christensenii,95,3451,1766,542621,105820,260,4,VMGC,-1685
83,Aerococcus christensenii,99,8274,2193,542621,105820,260,4,VMGC,-6081
84,Prevotella bivia,75,6150,2906,900875,102291,255,8,VMGC,-3244
85,Prevotella bivia,80,6363,2961,900875,102291,255,8,VMGC,-3402
86,Prevotella bivia,85,6759,3066,900875,102291,255,8,VMGC,-3693
87,Prevotella bivia,90,7343,3195,900875,102291,255,8,VMGC,-4148
88,Prevotella bivia,95,8566,3377,900875,102291,255,8,VMGC,-5189
89,Prevotella bivia,99,15797,4479,900875,102291,255,8,VMGC,-11318
90,Bifidobacterium vaginale_H,75,3263,1159,126681,138366,222,1,VMGC,-2104
91,Bifidobacterium vaginale_H,80,3575,1159,126681,138366,222,1,VMGC,-2416
92,Bifidobacterium vaginale_H,85,4092,1160,126681,138366,222,1,VMGC,-2932
93,Bifidobacterium vaginale_H,90,4959,1161,126681,138366,222,1,VMGC,-3798
94,Bifidobacterium vaginale_H,95,7240,1163,126681,138366,222,1,VMGC,-6077
95,Bifidobacterium vaginale_H,99,24480,1165,126681,138366,222,1,VMGC,-23315
96,Mobiluncus mulieris,75,4502,3044,916256,100791,188,20,VMGC,-1458
97,Mobiluncus mulieris,80,4647,3126,916256,100791,188,20,VMGC,-1521
98,Mobiluncus mulieris,85,4831,3214,916256,100791,188,20,VMGC,-1617
99,Mobiluncus mulieris,90,5166,3377,916256,100791,188,20,VMGC,-1789
100,Mobiluncus mulieris,95,6197,3797,916256,100791,188,20,VMGC,-2400
101,Mobiluncus mulieris,99,18672,8139,916256,100791,188,20,VMGC,-10533
102,Lactobacillus gasseri,75,4310,2956,611554,100460,202,33,VMGC,-1354
103,Lactobacillus gasseri,80,4427,3037,611554,100460,202,33,VMGC,-1390
104,Lactobacillus gasseri,85,4630,3167,611554,100460,202,33,VMGC,-1463
105,Lactobacillus gasseri,90,5083,3409,611554,100460,202,33,VMGC,-1674
106,Lactobacillus gasseri,95,6101,4154,611554,100460,202,33,VMGC,-1947
107,Lactobacillus gasseri,99,10189,6843,611554,100460,202,33,VMGC,-3346
108,Bifidobacterium vaginale_D,75,2853,1245,207192,106927,181,3,VMGC,-1608
109,Bifidobacterium vaginale_D,80,3114,1249,207192,106927,181,3,VMGC,-1865
110,Bifidobacterium vaginale_D,85,3468,1253,207192,106927,181,3,VMGC,-2215
111,Bifidobacterium vaginale_D,90,4059,1261,207192,106927,181,3,VMGC,-2798
112,Bifidobacterium vaginale_D,95,5478,1290,207192,106927,181,3,VMGC,-4188
113,Bifidobacterium vaginale_D,99,12356,1537,207192,106927,181,3,VMGC,-10819
114,Streptococcus agalactiae,75,4662,7498,861111,100024,178,1445,GTDB,2836
115,Streptococcus agalactiae,80,4770,7920,861111,100024,178,1445,GTDB,3150
116,Streptococcus agalactiae,85,4938,8687,861111,100024,178,1445,GTDB,3749
117,Streptococcus agalactiae,90,5191,10049,861111,100024,178,1445,GTDB,4858
118,Streptococcus agalactiae,95,5785,13420,861111,100024,178,1445,GTDB,7635
119,Streptococcus agalactiae,99,8335,25150,861111,100024,178,1445,GTDB,16815
120,Peptoniphilus_A lacrimalis,75,4105,1946,879245,105389,151,4,VMGC,-2159
121,Peptoniphilus_A lacrimalis,80,4175,1955,879245,105389,151,4,VMGC,-2220
122,Peptoniphilus_A lacrimalis,85,4289,1970,879245,105389,151,4,VMGC,-2319
123,Peptoniphilus_A lacrimalis,90,4596,2004,879245,105389,151,4,VMGC,-2592
124,Peptoniphilus_A lacrimalis,95,5556,2083,879245,105389,151,4,VMGC,-3473
125,Peptoniphilus_A lacrimalis,99,19933,3464,879245,105389,151,4,VMGC,-16469
126,Lactobacillus mulieris,75,3415,1931,499721,100881,206,18,VMGC,-1484
127,Lactobacillus mulieris,80,3479,1954,499721,100881,206,18,VMGC,-1525
128,Lactobacillus mulieris,85,3578,1983,499721,100881,206,18,VMGC,-1595
129,Lactobacillus mulieris,90,3792,2033,499721,100881,206,18,VMGC,-1759
130,Lactobacillus mulieris,95,4320,2191,499721,100881,206,18,VMGC,-2129
