species,num_genomes,rep_number,centroid_90,centroid_99
240891,10,0,1570,3656
240891,10,1,1699,3916
240891,10,2,1707,3843
240891,10,3,1706,3891
240891,10,4,1714,3874
240891,10,5,1707,3878
240891,10,6,1650,3613
240891,10,7,1636,3710
240891,10,8,1811,3977
240891,10,9,1634,3761
240891,11,0,1703,4023
240891,11,1,1720,3966
240891,11,2,1741,4060
240891,11,3,1733,4005
240891,11,4,1733,4058
240891,11,5,1673,3815
240891,11,6,1661,3845
240891,11,7,1829,4142
240891,11,8,1714,4031
240891,11,9,1658,3720
240891,12,0,1730,4106
240891,12,1,1751,4186
240891,12,2,1732,4017
240891,12,3,1751,4192
240891,12,4,1697,3975
240891,12,5,1667,3962
240891,12,6,1837,4263
240891,12,7,1731,4189
240891,12,8,1679,3835
240891,12,9,1708,3920
240891,13,0,1775,4338
240891,13,1,1750,4157
240891,13,2,1772,4318
240891,13,3,1714,4179
240891,13,4,1670,4041
240891,13,5,1854,4410
240891,13,6,1731,4189
240891,13,7,1693,3965
240891,13,8,1762,4118
240891,13,9,1701,4192
240891,15,0,1844,4553
240891,15,1,1728,4422
240891,15,2,1757,4436
240891,15,3,1892,4586
240891,15,4,1820,4490
240891,15,5,1725,4211
240891,15,6,1796,4286
240891,15,7,1846,4471
240891,15,8,1790,4390
240891,15,9,1737,4111
240891,16,0,1731,4509
240891,16,1,1758,4448
240891,16,2,1903,4708
240891,16,3,1832,4679
240891,16,4,1738,4325
240891,16,5,1806,4424
240891,16,6,1850,4574
240891,16,7,1808,4534
240891,16,8,1804,4327
240891,16,9,1809,4604
240891,18,0,1905,4817
240891,18,1,1852,4893
240891,18,2,1795,4631
240891,18,3,1829,4642
240891,18,4,1882,4807
240891,18,5,1830,4734
240891,18,6,1835,4648
240891,18,7,1837,4812
240891,18,8,1768,4593
240891,18,9,1830,4818
240891,20,0,1865,4831
240891,20,1,1833,4742
240891,20,2,1896,4983
240891,20,3,1859,4925
240891,20,4,1841,4744
240891,20,5,1906,5055
240891,20,6,1805,4860
240891,20,7,1884,5049
240891,20,8,1852,5047
240891,20,9,1835,4950
240891,2,0,1364,1904
240891,2,1,1327,1808
240891,2,2,1356,1863
240891,23,0,1867,5042
240891,23,1,1898,5108
240891,23,2,1914,5153
240891,23,3,1816,5050
240891,23,4,1896,5287
240891,23,5,1891,5326
240891,23,6,1891,5094
240891,23,7,1942,5384
240891,23,8,1880,5219
240891,23,9,1917,5169
240891,2,3,1260,1715
240891,2,4,1296,1749
240891,25,0,1923,5217
240891,25,1,1836,5229
240891,25,2,1918,5469
240891,25,3,1914,5486
240891,25,4,1958,5393
240891,25,5,1974,5536
240891,25,6,1887,5368
240891,25,7,1929,5353
240891,25,8,1940,5457
240891,25,9,1846,5173
240891,2,5,1266,1760
240891,2,6,1352,1765
240891,2,7,1388,1920
240891,28,0,1946,5678
240891,28,1,1970,5549
240891,28,2,1987,5698
240891,28,3,1912,5554
240891,28,4,1969,5608
240891,28,5,1996,5754
240891,28,6,1939,5564
240891,28,7,1952,5470
240891,28,8,1997,5730
240891,28,9,1980,5528
240891,2,8,1242,1654
240891,2,9,1257,1638
240891,30,0,1998,5786
240891,30,1,1993,5791
240891,30,2,1985,5772
240891,30,3,2002,5842
240891,30,4,1950,5737
240891,30,5,1965,5687
240891,30,6,1998,5786
240891,30,7,1994,5717
240891,30,8,1950,5737
240891,30,9,1965,5687
240891,3,0,1360,2125
240891,31,0,2002,5845
240891,3,1,1474,2261
240891,3,2,1260,1715
240891,3,3,1360,2146
240891,3,4,1357,2190
240891,3,5,1424,2193
240891,3,6,1466,2292
240891,3,7,1292,1977
240891,3,8,1410,2159
240891,3,9,1332,2048
240891,4,0,1511,2555
240891,4,1,1337,2068
240891,4,2,1392,2419
240891,4,3,1541,2638
240891,4,4,1475,2497
240891,4,5,1534,2618
240891,4,6,1337,2302
240891,4,7,1461,2533
240891,4,8,1380,2379
240891,4,9,1468,2567
240891,5,0,1392,2401
240891,5,1,1506,2755
240891,5,2,1589,2916
240891,5,3,1514,2807
240891,5,4,1571,2863
240891,5,5,1395,2514
240891,5,6,1494,2761
240891,5,7,1443,2661
240891,5,8,1500,2828
240891,5,9,1512,2790
240891,6,0,1543,3056
240891,6,1,1621,3130
240891,6,2,1542,3054
240891,6,3,1602,3037
240891,6,4,1419,2784
240891,6,5,1546,3049
240891,6,6,1496,2942
240891,6,7,1536,3112
240891,6,8,1577,3081
240891,6,9,1580,3091
240891,7,0,1654,3336
240891,7,1,1560,3241
240891,7,2,1621,3216
240891,7,3,1461,3019
240891,7,4,1564,3295
240891,7,5,1604,3213
240891,7,6,1655,3397
240891,7,7,1605,3254
240891,7,8,1612,3370
240891,7,9,1613,3238
240891,8,0,1623,3463
240891,8,1,1659,3475
240891,8,2,1491,3242
240891,8,3,1612,3499
240891,8,4,1622,3434
240891,8,5,1672,3561
240891,8,6,1621,3432
240891,8,7,1670,3559
240891,8,8,1638,3454
240891,8,9,1605,3411
240891,9,0,1682,3685
240891,9,1,1514,3440
240891,9,2,1688,3800
240891,9,3,1631,3577
240891,9,4,1699,3754
240891,9,5,1702,3753
240891,9,6,1700,3743
240891,9,7,1638,3453
240891,9,8,1615,3553
240891,9,9,1757,3808
571325,10,0,1943,2235
571325,10,1,1936,2180
571325,10,2,1985,2279
571325,10,3,1898,2120
571325,10,4,1925,2152
571325,10,5,1913,2103
571325,10,6,1939,2246
571325,10,7,1874,2066
571325,10,8,1966,2246
571325,10,9,1959,2190
571325,11,0,1952,2207
571325,11,1,1984,2280
571325,11,2,1897,2130
