species,num_genomes,rep_number,centroid_90,centroid_99
240891,10,0,1538,3232
240891,10,1,1457,2959
240891,10,2,1438,2877
240891,10,3,1493,2999
240891,10,4,1469,2984
240891,10,5,1558,3189
240891,10,6,1395,2936
240891,10,7,1466,3033
240891,10,8,1569,3261
240891,109,0,2586,8578
240891,109,1,2816,8902
240891,109,2,2575,8775
240891,109,3,2476,8354
240891,109,4,2436,8306
240891,109,5,2722,8843
240891,109,6,2548,8627
240891,109,7,2576,8788
240891,109,8,2420,8455
240891,109,9,2642,8476
240891,10,9,1512,3243
240891,1108,0,5287,22686
240891,1108,1,5227,22661
240891,1108,2,5285,22568
240891,1108,3,5500,22874
240891,1108,4,5307,22493
240891,1108,5,5286,22464
240891,1108,6,5214,22537
240891,1108,7,5312,22890
240891,1108,8,5361,22907
240891,1108,9,5467,22809
240891,11,0,1486,3067
240891,11,1,1490,3081
240891,11,2,1514,3146
240891,11,3,1492,3162
240891,11,4,1569,3280
240891,11,5,1410,3073
240891,11,6,1494,3184
240891,11,7,1575,3379
240891,11,8,1554,3430
240891,11,9,1571,3300
240891,12,0,1502,3142
240891,121,0,2508,8713
240891,121,1,2683,9010
240891,121,2,2546,8872
240891,121,3,2434,8641
240891,121,4,2404,8412
240891,121,5,2510,8638
240891,121,6,2460,8711
240891,121,7,2518,8769
240891,121,8,2724,9069
240891,121,9,2478,9056
240891,12,1,1517,3315
240891,12,2,1524,3319
240891,1231,0,5392,23637
240891,1231,1,5654,23948
240891,1231,2,5510,23843
240891,1231,3,5661,23958
240891,1231,4,5679,23665
240891,1231,5,5471,23694
240891,1231,6,5434,23969
240891,1231,7,5387,23515
240891,1231,8,5682,23952
240891,1231,9,5700,24180
240891,12,3,1581,3371
240891,12,4,1424,3171
240891,12,5,1551,3351
240891,12,6,1582,3531
240891,12,7,1692,3696
240891,12,8,1587,3499
240891,12,9,1609,3553
240891,13,0,1542,3422
240891,13,1,1554,3470
240891,13,2,1588,3451
240891,13,3,1462,3321
240891,13,4,1584,3523
240891,135,0,3139,9780
240891,135,1,2941,9633
240891,135,2,2778,9434
240891,135,3,2967,9754
240891,135,4,2857,9484
240891,135,5,2421,8965
240891,135,6,2622,9241
240891,135,7,2593,9238
240891,135,8,2601,9045
240891,135,9,2757,9498
240891,13,5,1585,3644
240891,1368,0,5956,25288
240891,1368,1,5952,25377
240891,1368,2,6035,25294
240891,1368,3,5795,25076
240891,1368,4,5881,24810
240891,1368,5,5826,25015
240891,1368,6,5760,24855
240891,1368,7,5775,25006
240891,1368,8,5821,24940
240891,1368,9,5699,24798
240891,13,6,1706,3815
240891,13,7,1597,3608
240891,13,8,1612,3583
240891,13,9,1680,3901
240891,150,0,2931,9869
240891,150,1,2846,9885
240891,150,2,2732,9680
240891,150,3,2554,9545
240891,150,4,2987,10135
240891,150,5,2750,9651
240891,150,6,2877,9860
240891,150,7,2610,9761
240891,150,8,2630,9486
240891,150,9,2716,9610
240891,15,0,1614,3699
240891,15,1,1536,3629
