species,num_genomes,rep_number,centroid_90,centroid_99
783244,15,3,1807,6110
783244,15,7,1838,6287
783244,15,4,1830,5767
783244,15,9,1712,5367
783244,17,3,1992,6341
783244,17,0,1868,5452
571325,5,8,1614,1676
783244,17,2,1855,6079
783244,15,8,1842,5374
783244,17,4,1789,6532
783244,11,7,1742,5315
783244,17,5,1890,6742
783244,17,8,2025,6751
783244,17,7,1757,5730
783244,17,6,1947,6138
783244,3,5,1195,1809
783244,3,6,1272,2213
783244,19,2,1828,6869
783244,19,5,1778,5979
783244,17,9,2038,6903
783244,4,7,1456,2744
783244,10,7,1617,3889
783244,19,0,1906,6677
783244,19,3,1958,7512
783244,19,7,2059,7186
783244,19,1,2016,6600
783244,19,4,2001,6708
783244,19,9,2008,7184
783244,19,6,2048,7094
783244,21,3,1796,6280
783244,21,6,1848,6039
783244,21,0,1854,7112
571325,5,3,1600,1628
783244,21,5,2088,7448
783244,21,7,2062,7561
783244,5,1,1537,3255
783244,4,9,1524,3086
783244,23,1,1881,6983
783244,21,1,2033,7769
783244,23,6,2225,8584
783244,21,2,2038,7138
783244,23,8,2258,8618
783244,23,2,2228,8408
783244,10,6,1747,4682
783244,21,9,2023,7100
783244,23,0,2140,7736
783244,26,0,2174,8233
783244,23,4,1902,6493
783244,23,9,2073,8236
783244,26,1,2033,7491
783244,23,3,2127,7879
783244,23,5,2098,7933
783244,26,2,2195,8696
783244,26,5,2354,9277
783244,12,4,1869,5451
783244,26,3,2269,9010
783244,7,9,1538,3489
783244,26,9,2112,8810
783244,6,8,1511,2813
783244,29,3,2174,9575
783244,26,6,2114,8811
783244,26,7,2315,8969
783244,29,6,2161,9422
783244,26,8,2148,8224
783244,29,5,2275,9260
571325,2,7,1557,1570
783244,29,4,2375,9778
783244,23,7,2072,7583
783244,26,4,2160,8335
783244,29,7,2263,9036
783244,29,2,2443,10013
783244,29,1,2263,9420
783244,29,9,2423,9494
783244,2,0,1173,1631
783244,2,1,1000,1248
783244,29,0,2330,9691
571325,3,1,1429,1439
783244,2,3,1195,1561
783244,2,2,1008,1128
783244,2,5,1184,1700
783244,2,7,1132,1359
783244,2,4,1250,1682
783244,2,8,1132,1641
783244,2,6,1179,1600
783244,2,9,1217,1463
783244,3,1,1127,1462
783244,3,2,1244,1878
783244,11,5,1838,5254
783244,3,0,1173,1817
783244,3,3,1359,2380
783244,3,7,1183,1930
783244,3,9,1306,2281
783244,3,8,1334,1898
783244,3,4,1398,2616
783244,4,0,1275,2025
783244,4,1,1285,2078
783244,4,2,1446,2957
783244,4,4,1357,2188
571325,4,7,1666,1679
783244,4,3,1491,3173
783244,4,6,1296,2315
783244,4,5,1323,2705
783244,4,8,1360,2681
783244,9,6,1693,4576
783244,9,5,1668,3959
619501,3,6,1420,3020
619501,4,3,1439,3725
783244,5,0,1328,2538
783244,5,3,1396,2455
783244,11,0,1761,4745
571325,5,2,1579,1596
783244,5,6,1498,2981
783244,5,7,1372,2886
783244,5,4,1462,3170
783244,5,9,1479,2585
783244,5,5,1397,2883
783244,6,0,1562,3760
783244,6,2,1477,2862
783244,6,3,1502,3583
783244,5,2,1528,3464
783244,5,8,1627,3786
571325,3,8,1393,1405
783244,6,1,1620,3800
783244,7,1,1524,3163
783244,6,5,1559,3207
783244,6,6,1446,3463
619501,5,8,1422,3790
783244,6,9,1582,3277
783244,6,4,1459,3288
783244,7,0,1637,3934
783244,9,8,1597,3658
783244,7,5,1511,3834
571325,6,4,1704,1793
783244,7,3,1550,4025
783244,7,6,1715,4464
783244,6,7,1678,4232
783244,7,2,1584,3992
611554,2,8,1679,1801
783244,7,8,1635,3918
783244,7,4,1612,3636
783244,8,2,1586,4263
783244,8,1,1645,4388
783244,8,0,1686,4079
783244,11,2,1843,5294
783244,8,4,1688,4335
783244,8,5,1769,4806
783244,8,3,1625,3777
783244,8,7,1660,4254
783244,8,8,1673,3997
783244,9,0,1679,4634
783244,9,1,1600,4423
611554,4,1,2198,2838
783244,8,9,1577,3491
783244,9,3,1740,4798
783244,11,6,1632,4004
783244,8,6,1597,3610
783244,9,2,1669,3969
619501,2,1,1195,1916
619501,2,9,1156,1817
619501,3,0,1349,2864
619501,2,0,1301,2069
783244,7,7,1577,3411
619501,3,1,1283,2240
783244,9,9,1653,4486
619501,2,8,1227,1970
783244,10,5,1729,4724
619501,3,3,1315,2819
619501,3,5,1271,2135
619501,3,2,1326,2794
619501,2,7,1306,2134
783244,9,4,1799,5004
619501,2,6,1190,1639
619501,2,2,981,1317
619501,2,3,1264,2132
619501,2,5,1276,2014
783244,9,7,1696,4234
571325,6,3,1710,1792
619501,3,7,1313,2726
619501,3,4,1380,2922
619501,4,2,1389,3605
619501,4,0,1351,3001
611554,6,7,2145,2548
619501,2,4,1224,1976
619501,3,9,1416,3004
619501,3,8,1199,2253
619501,4,4,1418,2966
619501,4,1,1421,3509
783244,17,1,1865,6675
619501,5,0,1480,4182
619501,4,9,1319,3175
619501,4,6,1372,3442
619501,4,5,1508,3804
619501,5,1,1433,4047
619501,4,7,1267,3016
619501,5,2,1561,4379
619501,5,4,1596,4556
619501,5,5,1440,3541
619501,5,6,1371,3832
783244,10,4,1768,4690
619501,5,9,1603,4235
619501,5,3,1492,3700
619501,5,7,1545,4405
240891,10,1,1581,3162
611554,2,0,1658,1664
611554,2,2,1725,1831
611554,2,4,1840,2075
611554,2,5,1543,1588
611554,2,3,1884,1893
611554,2,6,1619,1663
571325,4,3,1480,1494
611554,2,1,2103,3205
611554,2,9,1698,1704
611554,2,7,2041,2075
611554,3,2,1931,2023
611554,3,0,2232,3560
611554,3,4,1907,2069
611554,3,1,2112,3278
619501,4,8,1482,3776
611554,3,6,2180,2471
611554,3,3,1848,2095
783244,10,1,1728,4447
783244,11,8,1708,4980
611554,3,5,1863,1915
611554,3,7,1865,2382
611554,3,9,1770,2551
611554,3,8,1898,1951
611554,4,0,2117,3290
611554,4,3,2034,3088
240891,11,8,1479,3192
611554,4,5,2214,2518
611554,4,6,1997,2551
611554,4,2,2042,2312
571325,5,1,1637,1673
611554,4,4,1947,2224
611554,4,7,1899,1980
611554,4,8,1773,2558
611554,5,0,2199,2847
611554,4,9,2060,2400
611554,5,1,2105,2407
611554,5,3,2058,3119
611554,5,2,2042,3190
611554,5,6,2019,2914
611554,5,4,2289,2610
571325,5,0,1547,1569
611554,5,5,2074,2822
611554,5,7,1942,3312
611554,5,9,1803,2095
611554,5,8,2085,2447
611554,6,2,2196,3284
611554,6,1,2113,3323
611554,6,0,2210,3411
611554,6,5,2209,3325
611554,6,3,2317,2672
611554,6,4,2231,3011
571325,3,7,1517,1572
611554,7,1,2199,3290
611554,6,6,1942,3312
611554,6,8,2073,2479
611554,7,0,2258,3537
611554,7,5,2009,3397
611554,6,9,2038,2182
611554,7,3,2232,3016
611554,7,2,2322,2708
611554,7,6,2218,2712
611554,7,7,2121,2540
571325,6,0,1647,1686
611554,7,9,2020,2208
611554,7,8,2118,2309
611554,8,2,2232,3020
611554,8,0,2240,3521
611554,8,5,2250,2764
240891,17,6,1620,3906
611554,8,3,2315,3468
611554,8,8,2056,2292
611554,8,6,2166,2596
611554,8,4,2181,3828
571325,6,1,1584,1606
611554,8,7,2122,2317
611554,8,1,2338,2754
611554,8,9,2237,3460
240891,10,0,1575,3326
240891,10,3,1450,3038
240891,10,4,1514,3432
240891,10,5,1489,3278
240891,10,2,1449,2996
240891,10,6,1501,3127
240891,10,8,1458,3020
571325,4,8,1688,1754
240891,21,2,1656,4237
611554,7,4,2288,3420
240891,10,7,1520,3168
240891,11,0,1591,3244
240891,11,1,1464,3114
240891,11,2,1461,3163
240891,10,9,1469,3060
240891,11,5,1523,3263
240891,11,4,1510,3395
240891,11,3,1526,3554
571325,5,9,1573,1596
240891,11,7,1500,3217
240891,11,6,1552,3336
240891,12,2,1603,3700
240891,23,8,1737,4575
240891,11,9,1576,3308
240891,12,1,1483,3322
240891,12,0,1476,3279
240891,12,4,1548,3370
240891,2,7,1375,1623
240891,12,3,1525,3532
571325,6,5,1762,1808
240891,12,6,1539,3359
240891,12,5,1563,3403
240891,12,7,1486,3318
240891,12,9,1588,3450
240891,12,8,1588,3391
240891,14,1,1548,3732
240891,14,2,1576,3593
240891,14,3,1605,3632
240891,14,0,1655,3983
240891,14,4,1549,3486
783244,12,2,1813,5309
240891,14,6,1615,3642
240891,14,7,1598,3630
240891,14,5,1523,3565
