species,num_genomes,rep_number,centroid_90,centroid_99
611554,4,7,2350,3541
611554,8,1,2682,4892
611554,3,4,1850,1880
611554,7,3,2594,4502
571325,6,9,1761,1834
611554,5,9,2362,3449
611554,5,1,2609,4517
619501,5,5,1468,3151
611554,3,1,2395,4211
611554,5,8,2461,3956
571325,3,9,1719,1753
571325,3,0,1574,1621
619501,5,4,1468,3151
611554,4,4,2249,2998
611554,5,5,2235,2989
619501,3,6,1462,3140
619501,2,3,1328,2192
611554,5,7,2465,3929
611554,4,3,2096,2199
611554,7,1,2698,4902
611554,8,2,2682,4892
611554,2,7,2002,2781
611554,4,2,2331,3130
611554,5,3,2329,3128
783244,15,1,2067,6245
571325,3,6,1530,1552
783244,10,9,1953,5096
611554,6,2,2426,3522
611554,7,4,2594,4502
611554,6,4,2520,4374
611554,6,1,2177,2595
571325,5,6,1762,1831
571325,6,1,1761,1834
611554,5,6,2511,4409
783244,10,1,1999,5527
783244,23,4,2261,8112
783244,17,9,2212,7516
619501,2,6,1142,1149
783244,11,1,2037,6920
783244,26,1,2327,8722
783244,23,0,2326,8544
611554,8,9,2682,4892
619501,2,7,1390,2300
619501,2,0,1142,1149
619501,5,8,1468,3151
619501,5,2,1468,3151
783244,14,4,2012,6308
611554,7,5,2698,4902
783244,12,2,2179,6904
611554,4,1,2334,4415
783244,10,7,1905,5284
619501,4,6,1468,3154
783244,10,2,1970,6210
611554,8,8,2682,4892
611554,3,0,2299,4203
783244,23,6,2269,8192
783244,12,4,2020,5781
783244,10,5,1957,5499
783244,26,9,2340,9308
783244,21,0,2166,7940
611554,6,9,2534,4698
783244,26,8,2426,9871
783244,19,3,2255,7665
619501,5,9,1468,3151
611554,5,2,2078,2187
611554,4,9,2457,3931
611554,8,4,2682,4892
783244,26,7,2374,9306
783244,19,6,2212,7570
783244,21,3,2229,8206
571325,6,4,1761,1834
783244,21,9,2296,8734
619501,5,6,1468,3151
611554,4,0,2514,4355
783244,11,6,2004,5667
783244,23,1,2264,8651
571325,4,7,1568,1625
783244,21,7,2278,8428
619501,3,8,1333,2219
783244,14,8,2074,6012
571325,6,2,1761,1834
619501,3,4,1463,3143
619501,3,0,1306,2121
611554,6,5,2500,4399
611554,7,2,2678,4863
783244,12,6,1891,5215
611554,6,8,2633,4829
611554,3,3,2095,2199
783244,19,1,2174,7771
783244,14,7,1969,6191
611554,6,6,2538,4047
783244,15,0,2120,6652
783244,14,2,2076,6264
783244,12,7,2053,6067
619501,5,7,1468,3151
783244,6,0,1647,3539
783244,26,6,2389,9323
783244,26,0,2366,9260
619501,2,5,1390,2300
783244,21,1,2350,8859
783244,8,0,1740,4171
611554,7,6,2683,4891
783244,6,9,1831,4831
783244,8,1,1823,4609
783244,19,7,2226,7743
783244,21,4,2213,7572
783244,14,0,2213,7373
783244,17,1,2128,7394
783244,7,6,1831,4468
611554,3,8,2273,3408
619501,3,1,1462,3140
783244,29,3,2429,10004
783244,26,2,2425,9833
783244,7,2,1684,3647
783244,29,6,2429,10004
611554,6,7,2624,4817
783244,17,0,2186,7421
783244,19,0,2178,7351
611554,3,6,2036,3029
611554,6,3,2405,3486
611554,2,2,2097,3193
571325,2,0,1517,1534
783244,12,9,1969,6189
783244,7,8,1907,5165
783244,19,5,2151,7528
611554,2,1,2023,2825
783244,3,1,1419,2202
783244,23,7,2343,9113
783244,12,8,1836,4923
783244,2,9,1505,2348
783244,23,5,2363,8911
783244,29,2,2429,10004
611554,7,9,2594,4502
783244,26,5,2313,8649
611554,6,0,2595,4505
783244,23,9,2311,8430
783244,23,8,2280,8480
783244,29,8,2429,10004
783244,29,5,2429,10004
783244,26,4,2411,9802
611554,4,5,2256,3275
783244,14,1,2095,6358
783244,21,8,2251,8030
571325,6,6,1761,1834
783244,21,2,2283,8171
783244,19,2,2175,7946
783244,15,5,2062,6476
783244,4,6,1547,2806
783244,10,0,1951,5392
783244,29,7,2429,10004
783244,19,9,2183,7225
783244,17,4,2044,6691
783244,10,3,1856,4760
783244,29,0,2429,10004
571325,6,5,1761,1834
783244,19,8,2210,7708
611554,8,7,2682,4892
783244,21,5,2275,8196
783244,10,4,2043,6030
783244,17,3,2062,6477
783244,29,4,2429,10004
783244,3,4,1483,2250
783244,12,3,2051,5891
783244,11,4,2053,5890
783244,21,6,2232,7878
571325,2,4,1560,1582
783244,8,9,1815,4526
783244,7,0,1586,3237
783244,15,4,2140,6762
783244,5,3,1644,3522
783244,26,3,2360,9206
783244,14,6,1991,5848
783244,11,2,1866,4989
783244,29,1,2429,10004
783244,14,5,2071,6298
611554,5,0,2404,4491
571325,3,1,1574,1621
783244,11,7,1867,4968
783244,23,3,2314,8594
783244,3,7,1445,2247
783244,11,5,2011,5747
783244,11,3,2101,6627
783244,11,8,1969,5276
783244,4,7,1702,3520
783244,5,2,1549,2840
783244,23,2,2280,8464
783244,14,3,2110,6688
571325,3,2,1543,1578
783244,12,1,1967,5861
783244,10,8,1864,4964
783244,17,6,2251,7962
783244,11,9,1835,4922
783244,19,4,2281,8169
783244,12,0,2062,7189
783244,12,5,2051,5920
783244,8,2,1902,4822
783244,4,2,1449,2195
783244,3,8,1585,3050
619501,4,0,1466,3145
783244,3,9,1473,2437
783244,8,8,1799,4776
783244,6,2,1714,3917
240891,19,9,1878,5124
783244,4,8,1496,2757
783244,2,4,1333,1778
783244,4,1,1523,2563
783244,7,9,1763,4459
783244,2,8,1444,2246
783244,6,8,1777,4032
611554,2,6,1983,2686
783244,3,2,1473,2209
783244,3,3,1451,2188
783244,4,5,1540,2834
783244,5,6,1807,4007
783244,6,5,1836,4300
783244,3,0,1442,2256
240891,11,4,1709,4043
783244,4,0,1518,2802
783244,3,5,1462,2199
783244,4,3,1506,2517
571325,3,5,1697,1719
619501,3,2,1329,2212
240891,10,6,1663,3807
783244,9,2,1997,5525
240891,15,5,1845,4638
783244,4,9,1594,2859
783244,3,6,1425,2395
783244,15,3,2013,6312
783244,5,0,1615,2879
240891,21,1,1944,5248
783244,6,4,1812,4203
783244,5,5,1640,3191
611554,3,9,2357,3493
783244,7,7,1853,4563
240891,10,0,1671,3756
783244,2,5,1399,1843
783244,4,4,1507,2605
783244,17,8,2203,7370
783244,9,3,1893,5503
783244,7,3,1859,4493
783244,6,1,1543,2861
783244,15,9,1992,6013
783244,6,7,1807,4210
611554,8,3,2682,4892
783244,17,5,2161,6862
240891,12,3,1785,4255
783244,8,4,1871,5211
783244,5,1,1616,3155
783244,15,8,2221,7553
783244,15,6,1972,6195
783244,17,2,2165,6936
783244,2,6,1393,1802
240891,2,2,1320,1883
783244,9,1,1921,5149
571325,5,3,1744,1795
783244,15,2,2122,6855
240891,10,1,1692,3809
240891,6,6,1532,2989
783244,8,5,1832,4473
783244,9,9,1823,4731
240891,10,7,1691,3869
240891,19,4,1897,5071
240891,10,5,1675,3895
783244,8,7,1957,5489
240891,10,3,1732,3854
619501,2,9,1142,1149
240891,15,3,1822,4561
783244,17,7,2100,6913
240891,10,4,1667,3772
783244,7,5,1771,4498
240891,17,8,1914,4883
240891,11,6,1698,3987
783244,2,1,1368,1843
783244,7,1,1715,3920
240891,21,5,1948,5288
783244,2,2,1361,1827
611554,3,2,2195,3978
240891,19,5,1880,5077
783244,8,6,1850,4582
783244,2,3,1345,1793
783244,9,7,1891,5183
783244,8,3,1983,5322
240891,21,0,1916,5231
783244,7,4,1954,5074
240891,17,6,1871,4872
783244,5,7,1557,3114
783244,2,7,1310,1742
619501,2,8,1305,2117
240891,19,6,1922,5081
240891,10,8,1694,3804
240891,12,5,1756,4161
783244,2,0,1352,1809
783244,9,5,1955,5304
240891,15,0,1856,4611
783244,29,9,2429,10004
783244,6,6,1714,4152
240891,21,4,1953,5297
783244,9,8,1905,5277
571325,2,6,1696,1713
240891,19,0,1936,5103
240891,14,8,1864,4522
783244,9,0,1823,4609
240891,17,7,1824,4822
240891,11,8,1721,4046
240891,11,9,1770,4087
240891,12,2,1755,4172
783244,15,7,2068,5966
240891,15,4,1808,4584
783244,5,9,1739,3730
611554,5,4,2324,3355
240891,14,4,1804,4395
783244,9,4,1840,4477
240891,10,9,1691,3862
240891,15,6,1862,4516
