species,num_genomes,rep_number,centroid_90,centroid_99
988598,32,3,4414,6058
571325,15,0,1766,1864
240891,13,9,1680,3901
240891,16,9,1770,4000
571325,25,6,1824,1984
783244,49,1,2477,12295
783244,49,2,2772,13004
611554,29,3,3076,5627
571325,29,4,1984,2200
240891,8,5,1474,2825
571325,20,2,2007,2222
988598,29,2,3495,4794
783244,48,1,2637,11652
240891,27,2,1878,4945
783244,48,7,2657,12629
783244,10,2,1793,5246
611554,29,9,2937,5362
611554,29,4,3210,5848
988598,29,9,4276,5997
783244,21,7,2094,7029
783244,39,7,2574,10640
619501,2,8,1257,2077
783244,17,4,1995,6500
240891,31,5,1860,5050
240891,22,1,1694,4390
783244,48,9,2730,13479
783244,8,9,1558,3622
988598,55,3,4232,6274
240891,27,6,1832,4799
988598,61,3,5255,8664
240891,9,3,1398,2686
240891,14,4,1602,3786
571325,18,2,1933,2088
611554,19,8,2922,5182
783244,9,5,1608,4691
240891,22,5,1778,4385
783244,26,9,2286,9008
571325,8,0,1666,1763
783244,26,0,2185,8708
240891,14,8,1690,3973
240891,20,8,1659,4316
988598,44,3,4015,6427
783244,28,3,2164,8374
611554,2,4,1842,2079
240891,18,1,1749,4240
988598,93,0,5660,9299
240891,30,4,1900,5131
988598,61,1,4564,7003
988598,61,0,5057,7896
783244,49,9,2688,11487
783244,39,1,2751,11946
240891,20,9,1789,4399
783244,43,2,2810,12064
988598,36,8,4024,5620
611554,6,5,2208,2555
988598,75,6,5083,8109
240891,27,4,1673,4516
240891,27,7,1840,4878
783244,23,4,2200,8769
611554,32,0,3123,5696
783244,48,0,2553,12343
988598,44,4,4173,6363
240891,14,2,1486,3463
988598,67,1,5025,8197
783244,23,1,2170,7698
571325,25,9,2060,2285
240891,7,9,1340,2593
783244,5,2,1502,3620
240891,16,1,1637,3787
988598,49,9,4126,5994
783244,8,5,1541,4270
240891,5,3,1319,2316
783244,8,1,1566,3935
240891,12,3,1581,3371
783244,49,7,2646,12471
240891,20,3,1668,4242
611554,2,1,1583,1593
988598,40,8,4137,6285
988598,75,8,5010,7899
988598,55,8,4385,6633
240891,24,5,1837,4700
240891,14,5,1712,3898
240891,27,0,1874,4782
240891,9,2,1450,2914
988598,114,2,5217,9200
988598,49,5,4736,7494
783244,23,2,2312,7736
611554,6,3,2118,2367
240891,14,7,1616,3643
240891,31,6,1920,5297
611554,6,4,2158,2780
240891,20,7,1744,4232
988598,40,7,3984,6333
240891,8,0,1419,2886
240891,18,9,1628,3982
240891,14,9,1599,3686
240891,31,8,1832,4975
571325,23,8,1823,1973
611554,11,5,2336,3426
783244,35,5,2638,11095
988598,67,3,4669,7728
240891,30,3,1839,4971
240891,16,7,1622,3852
571325,28,7,1934,2132
988598,83,0,5065,8052
240891,31,4,2320,5759
783244,11,1,1822,5405
783244,31,5,2223,9270
240891,30,5,2314,5706
611554,10,2,2422,3182
619501,2,0,1144,1631
988598,21,1,4180,6218
783244,11,3,1686,5320
240891,22,4,1748,4399
988598,36,2,4763,6749
988598,114,9,5494,9519
611554,17,8,2708,4849
611554,32,8,4025,7336
783244,48,3,2717,12782
783244,31,1,2338,9471
611554,23,6,3108,4130
571325,10,6,1796,1916
988598,83,9,5535,8823
988598,103,2,5443,9311
611554,33,0,3219,5940
240891,22,9,1612,4152
611554,26,6,3027,5555
611554,26,4,2606,3405
783244,39,4,2524,10924
988598,128,4,5633,9498
988598,67,7,5005,8115
240891,31,9,1835,4930
571325,12,1,1825,1960
783244,43,9,2627,11834
783244,12,1,1797,5899
988598,61,6,5547,8843
988598,55,4,4558,7299
611554,19,0,2802,4562
988598,128,3,5865,10076
988598,55,9,5142,8389
783244,43,4,2656,11853
988598,83,6,5187,9235
988598,36,1,4266,6446
571325,13,1,1818,1987
783244,19,3,1909,6063
988598,114,4,5622,9545
240891,24,7,1640,4279
988598,61,2,4705,7416
988598,32,5,4238,6328
988598,103,1,5758,9200
240891,31,7,1830,5118
783244,28,2,2413,8784
240891,31,3,1908,5189
240891,30,7,1910,5237
571325,23,7,2197,2478
988598,83,2,5205,8379
783244,43,5,2522,11942
783244,43,6,2550,10846
783244,43,3,2615,11299
240891,20,4,1779,4488
988598,32,6,4405,6307
988598,49,0,4447,6661
783244,49,3,2811,13051
240891,18,8,1701,4034
783244,49,8,2750,13675
571325,15,3,1838,1990
988598,75,2,4661,7375
988598,44,2,4520,7001
240891,22,7,1809,4553
240891,27,8,2273,5449
240891,24,0,1844,4754
988598,83,4,4777,7257
988598,67,9,5169,8170
611554,23,9,2964,5419
783244,15,5,1979,5913
240891,22,0,1784,4732
571325,17,7,1850,1983
988598,114,3,6238,10527
988598,61,9,4378,7086
988598,75,0,4848,7505
988598,127,4,5850,10037
988598,75,1,5409,8525
783244,49,6,2664,12747
240891,24,8,1775,4812
783244,39,0,2429,10101
988598,75,5,5396,8509
988598,44,0,4208,6089
571325,17,4,1869,2030
783244,49,4,2642,12252
783244,35,2,2221,9952
988598,44,8,4350,6690
783244,35,3,2342,10332
783244,23,0,2113,7790
783244,48,4,2749,12809
783244,48,6,2622,12215
783244,11,4,1795,4810
988598,103,7,5270,8810
988598,83,8,5220,8553
571325,17,9,1821,1971
988598,127,2,5417,8906
988598,40,4,4092,5804
988598,93,6,5312,9110
988598,75,9,4710,7709
988598,93,9,5508,9276
240891,18,6,1741,4291
783244,43,0,2592,11511
988598,83,3,5697,9682
988598,55,6,4849,7308
988598,26,5,3436,4658
783244,2,7,1126,1679
783244,23,7,2321,8056
783244,28,4,2307,9054
240891,31,1,1901,5329
988598,93,7,5839,9600
240891,30,1,1697,4733
240891,22,2,1795,4641
783244,43,8,2642,11934
611554,33,3,3242,6046
783244,39,5,2454,10452
240891,31,0,1742,4864
611554,2,7,1665,1717
571325,7,7,1630,1687
783244,48,5,2607,11987
783244,39,3,2445,11335
988598,93,8,5617,8960
783244,39,8,2569,11055
783244,49,0,2953,12198
988598,93,2,5970,9580
240891,16,8,1721,4195
988598,36,6,4438,6500
988598,93,3,5417,8871
783244,23,5,2116,7229
571325,7,1,1597,1669
988598,49,3,4542,6927
988598,83,5,5187,8863
988598,128,1,5417,8908
240891,27,5,1795,5022
988598,93,1,5651,8780
988598,83,7,5053,8372
988598,114,5,5615,9216
783244,31,2,2169,9514
988598,67,0,5593,9012
988598,93,5,5585,8955
571325,12,6,1799,1917
988598,114,1,5991,10231
988598,127,6,6436,11408
988598,128,2,5296,9052
988598,103,4,5553,9582
988598,127,8,6123,10963
988598,127,9,6179,10663
988598,114,8,4777,8246
988598,128,5,6438,11414
988598,114,6,5764,10411
988598,128,6,6033,9888
571325,28,2,2206,2500
988598,127,0,6494,10961
988598,127,7,6033,9880
988598,114,7,5397,8873
240891,30,2,1893,5257
988598,127,3,5279,9001
988598,128,9,5410,9381
988598,128,8,6185,10688
988598,128,7,6126,10964
988598,93,4,5440,9246
988598,128,0,6257,11235
571325,8,3,1959,2025
988598,127,1,6256,11233
619501,3,6,1232,2289
571325,3,8,1543,1551
571325,5,9,1592,1633
571325,13,2,1761,1856
571325,23,2,1967,2181
571325,6,9,1687,1759
571325,8,4,1673,1722
571325,15,9,1847,1966
571325,20,9,1967,2194
571325,18,5,1879,2061
571325,2,7,1316,1317
611554,3,9,1713,1816
571325,12,8,1823,1919
571325,11,5,1798,1924
571325,15,6,1799,1943
611554,4,4,1706,2027
571325,17,5,1973,2175
571325,3,2,1376,1390
571325,11,8,1815,1991
571325,2,4,1228,1233
571325,25,2,2059,2415
571325,7,6,1789,1862
571325,7,5,1625,1668
571325,28,6,2278,2525
611554,11,9,2442,3308
571325,3,1,1598,1608
611554,3,3,1939,2242
571325,28,0,1953,2167
571325,11,1,1770,1904
611554,12,8,2466,3352
611554,15,2,2336,2926
571325,29,0,2056,2418
611554,12,5,2294,2756
619501,2,5,1260,2012
611554,5,9,1950,2309
611554,8,1,2231,2549
611554,9,7,2212,2603
611554,4,2,2005,2381
611554,5,2,1969,2277
619501,4,1,1399,3462
619501,3,5,1293,2578
571325,12,9,1788,1902
611554,4,7,1880,1983
611554,4,5,2064,2285
611554,15,7,2275,2681
571325,18,0,1849,2010
611554,11,1,2429,3199
571325,15,7,1946,2120
571325,10,1,1968,2047
571325,29,6,1948,2173
571325,2,8,1287,1289
611554,14,3,2336,2926
619501,5,8,1480,4196
611554,11,0,2367,2869
571325,18,7,1924,2072
571325,17,0,1780,1892
571325,20,7,2032,2349
571325,25,4,2024,2348
611554,4,1,1846,1948
611554,17,0,2584,4240
611554,10,9,2530,3952
571325,13,0,1835,1972
571325,10,8,1769,1834
571325,11,6,1713,1776
571325,13,5,1820,1952
611554,12,9,2694,3907
611554,2,8,1992,2506
611554,7,9,2052,2359
611554,2,6,1540,1751
611554,14,8,2275,2675
611554,8,9,2173,2614
611554,2,5,1802,2004
571325,7,9,1662,1763
611554,2,9,1820,1836
571325,7,3,1541,1568
619501,3,3,1363,2647
619501,2,1,1225,1783
571325,28,1,2053,2414
611554,6,1,2015,2326
571325,2,6,1534,1543
783244,3,7,1325,1975
571325,4,9,1731,1782
571325,29,5,2288,2556
571325,4,2,1646,1666
571325,4,6,1380,1390
611554,3,5,1685,1949
571325,17,6,1867,2025
783244,2,5,1159,1586
571325,28,5,1985,2199
571325,4,5,1605,1620
611554,2,2,1831,2071
611554,2,3,1707,1782
571325,9,8,1656,1713
611554,10,4,2334,3122
611554,11,3,2349,3148
619501,4,9,1433,3711
611554,19,7,2460,3931
611554,19,9,2523,4060
611554,7,7,2145,2882
571325,15,5,1888,2024
571325,17,2,1914,2127
