Assembly Accession	CheckM contamination	CheckM completeness	Assembly Stats Total Sequence Length
GCF_000418345.1	0.47	98.37	2983456
GCA_000647755.1	1.64	92.7	2819947
GCA_000709475.1	0.19	93.66	3052055
GCA_000732745.1	0.67	77.83	2911065
GCA_000934185.1	0.39	98.11	2756431
GCA_000934205.1	0.3	97.46	2672185
GCA_000934245.1	0.34	98.57	2730860
GCA_000934265.1	0.34	98.4	2726524
GCA_000934925.1	0.54	98.85	2788353
GCA_001046255.1			2854940
GCA_001046265.1			2866148
GCA_001267715.2	1.54	91.7	2704920
GCA_001275805.1	0.39	92.09	2548625
GCA_001282075.1	0.49	75.99	2624155
GCA_001411695.1			2271567
GCA_001411705.1			1985135
GCA_001457105.1			2862555
GCA_001469065.1	1.49	83.21	2509504
GCA_001469085.1	0.48	89.89	2579334
GCA_001639225.1	0.54	93.8	2753603
GCA_001641045.1	0.47	98.66	3132482
GCA_001691495.1	0.31	89.65	2826284
GCA_001691505.1	0.29	87.51	2875859
GCA_001854985.1	0.24	95.47	2810144
GCA_001855085.1	0.34	95.01	2972175
GCA_001855135.1	0.34	96.7	2837085
GCA_001936775.1	3.44	78.86	2233728
GCA_001982975.1			2779589
GCA_001996705.1			2525902
GCA_002082075.1	0.74	88.99	2819384
GCA_002097345.1			2571408
GCA_002097415.1			2474584
GCA_002097625.1			2571120
GCA_002273445.1	1.47	91.11	2481871
GCA_002273975.1	1.88	90.53	2556146
GCA_002273995.1	1.82	91.71	2549148
GCA_002274085.1	3.12	89.95	2474594
GCA_002274115.1	2.65	88.38	2524485
GCA_002274715.1	1.21	79.12	2200416
GCA_002275055.1	1.72	85.81	2416237
GCA_002275505.1	1.13	84.24	2432787
GCA_002275595.1	0.83	83.23	2310753
GCA_002275815.1	1.41	87.36	2475422
GCA_002275955.1	2.5	89.17	2529850
GCA_002736785.1			2828568
GCA_002761175.1	0.14	78.3	2732925
GCA_002810375.1	0.07	67.7	2714821
GCA_002810415.1	0.2	76.01	2719190
GCA_002835445.1	0.22	83.79	2691752
GCA_002849265.1	0.02	70.06	2709990
GCA_002902425.1	0.35	84.37	2575746
GCA_002934135.1			2807314
GCA_002934945.1			2867714
GCA_003010475.1	0.98	97.91	2809023
GCA_003309275.1	9.2	96.54	3167773
GCA_003710365.1	1.23	94.65	2986742
GCA_003725465.1	4.71	97.51	3287881
GCA_003725485.1	2.02	97.61	3058536
GCA_003827735.1	0.2	83.35	2791218
GCA_003827835.1	0.14	71.17	2792888
GCA_003970295.1			3119503
GCA_003989655.1			3107513
GCA_004001345.1	0.39	98.19	2730514
GCA_004137015.1			2776754
GCA_004153345.1	0.58	92.84	2866554
GCA_004168805.1			2778691
GCA_004368035.1	0.3	92.28	2814563
GCA_004771335.1	0.54	98.77	2764228
GCA_005860885.1	0.39	98.72	2750024
GCA_006158985.1	0.54	98.12	2822919
GCA_008039685.1	0.2	92.91	2904796
GCA_008630675.1	0.3	97.46	2672245
GCA_008630735.1	0.3	96.97	2672254
GCA_008630815.1	0.3	97.29	2672282
GCA_009259725.1	0.98	98.61	2893839
GCA_009497915.1	0.39	98.23	2744906
GCA_009873335.1	0.24	94.32	2774132
GCA_009883675.1	1.09	97.17	2819961
GCA_009883695.1	0.75	97.13	2841969
GCA_011007195.1			2837064
GCA_012277355.1	0.54	94.67	2792381
GCA_012277365.1	0.54	91.75	2743183
GCA_012277375.1	0.54	94.43	2794842
GCA_012277385.1	0.54	93.56	2741559
GCA_012277395.1	0.54	92.84	2755851
GCA_012277475.1	0.66	93.7	2759779
GCA_012277495.1	0.54	90.31	2755659
GCA_012277505.1	0.54	94.83	2797066
GCA_012277565.1	0.28	72.68	2740132
GCA_012277635.1	0.63	90.86	2744645
GCA_012277655.1	0.54	91.68	2771826
GCA_012277665.1	0.39	91.11	2826946
GCA_012277685.1	0.54	91.9	2761689
GCA_012277705.1	0.75	93.61	2871624
GCA_012277755.1	0.48	94.2	2756407
GCA_012277775.1	0.54	94.47	2808907
GCA_012277795.1	0.56	91.66	2835421
GCA_012277805.1	0.49	91.06	2801478
GCA_012277965.1	0.65	90.91	2754491
GCA_012277975.1	0.54	93.98	2796151
GCA_012278035.1	0.54	96.4	2793781
GCA_012278085.1	0.54	95.99	2775487
GCA_012278135.1	0.54	93.86	2784355
GCA_012278215.1	0.54	91.97	2780254
GCA_012278345.1	0.73	93.54	2827842
GCA_012278375.1	0.54	90.84	2794313
GCA_012278385.1	0.73	89.6	2830343
GCA_012278455.1	0.73	91.31	2832513
GCA_012278465.1	0.54	93.63	2798389
GCA_012278495.1	0.54	92.08	2796781
GCA_012278505.1	0.73	93.02	2750703
GCA_012278575.1	0.54	94.96	2706563
GCA_012278635.1	0.68	93.83	2756159
GCA_012278645.1	0.54	89.7	2784451
GCA_013414865.1	0.34	90.69	2838852
GCA_013415975.1	0.34	91.16	2809177
GCA_013415995.1	0.39	93.87	2932476
GCA_013426235.1	0.98	93.91	2910390
GCA_014297235.1			2147146
GCA_014335265.1	0.15	49.65	2745419
GCA_014336195.1	0.29	94.93	2818610
GCA_014336335.1	0.34	91.86	2831585
GCA_014336505.1	0.34	91.5	2816027
GCA_014337115.1	0.31	87.05	2880126
GCA_014353125.1	0.29	91.23	2829428
GCA_014353255.1	0.33	95.05	2863301
GCA_014353515.1	0.29	83.87	2864451
GCA_014353535.1	0.11	87.35	2917394
GCA_014353595.1	0.12	85.76	2890049
GCA_014353615.1	0.21	84.9	2888247
GCA_014353635.1	0.76	86.11	2956724
GCA_014637805.1	0.5	97.79	2849181
GCA_014638455.1	0.62	98.23	2801277
GCA_014638515.1	2.06	98.21	3054550
GCA_014638625.1	0.39	97.79	2834345
GCA_014638715.1	0.39	97.75	2878900
GCA_014638735.1	0.65	97.45	2963977
GCA_900045235.1			2106128
GCA_900155335.1	0.23	93.88	2866389
GCA_900457305.1	0.39	82.09	2800969
GCA_900457355.1	0.34	93.75	2954223
GCA_900457535.1	2.53	97.77	3309321
GCA_900457595.1	0.24	92.85	2842403
GCA_900457655.1	0.09	56.01	2790547
GCA_900457915.1	0.72	65.32	2894529
GCA_900457985.1	0.68	91.74	2825721
GCA_900458125.1	0.34	47.89	3056500
GCA_900458135.1	0.39	43.59	2814037
GCA_900458205.1	0.52	83.3	2861254
GCA_900458215.1	0.42	89.18	3037592
GCA_900458375.1	0.39	94.8	2787501
GCA_900518935.1	0.75	93.33	2827899
GCA_900635255.1	0.33	90.85	2750532
GCA_900635275.1	0.19	76.18	2693779
GCA_900636395.1	0.1	77.39	2792961
GCA_900706775.1	0.48	90.96	2784021
GCA_901485155.1	0.3	84.04	2777138
GCF_000025145.1	0.39	98.87	2821452
GCF_000296595.1	0.24	98.68	2782313
GCF_000208695.1	0.39	96.61	2833139
GCF_000364505.1	0.39	98.68	2808173
GCF_000171435.1	0.47	96.84	2923460
GCF_000175495.1	0.39	98.36	2820632
GCF_000174455.1	0.39	98.72	2827272
GCF_000174475.1	0.45	98.84	2846107
GCF_000174495.1	0.39	98.81	2870228
GCF_000174515.1	0.39	98.77	2816649
GCF_000174535.1	0.39	98.66	2746960
GCF_000175955.1	0.39	98.54	2715851
GCF_000178015.1	0.39	97.69	2968236
GCF_000178035.1	0.39	98.85	2916471
GCF_000174555.1	0.39	98.83	2782181
GCF_000174575.1	0.62	97.65	2731263
GCF_000174595.1	0.33	98.5	2856961
GCF_000177995.1	0.39	97.99	2930317
GCF_000174615.1	0.39	98.79	2769858
GCF_000175475.1	0.51	97.27	2887954
GCF_000174635.1	0.33	97.6	2822169
GCF_000363805.1	0.33	98.38	2894420
GCF_000363825.1	0.33	98.48	2858664
GCF_000363845.1	0.33	98.48	2841562
GCF_000363865.1	0.33	98.48	2863934
GCF_000412775.1	0.62	97.57	2875156
