centroid_90,classification
ERR10897580.sbin.2_00001,Mixed
ERR10897580.sbin.2_00002,Mixed
ERR10897580.sbin.2_00003,Mixed
ERR10897580.sbin.2_00006,Mixed
ERR10897580.sbin.2_00008,Mixed
ERR10897580.sbin.2_00015,VMGC
ERR10897580.sbin.2_00016,VMGC
ERR10897580.sbin.2_00019,Mixed
ERR10897580.sbin.2_00024,VMGC
ERR10897580.sbin.2_00032,Mixed
ERR10897580.sbin.2_00034,Mixed
ERR10897580.sbin.2_00035,Mixed
ERR10897580.sbin.2_00036,Mixed
ERR10897580.sbin.2_00039,VMGC
ERR10897580.sbin.2_00043,VMGC
ERR10897580.sbin.2_00051,Mixed
ERR10897580.sbin.2_00053,VMGC
ERR10897580.sbin.2_00056,Mixed
ERR10897580.sbin.2_00057,Mixed
ERR10897580.sbin.2_00059,Mixed
ERR10897580.sbin.2_00060,Mixed
ERR10897580.sbin.2_00063,Mixed
ERR10897580.sbin.2_00067,Mixed
ERR10897580.sbin.2_00068,Mixed
ERR10897580.sbin.2_00071,Mixed
ERR10897580.sbin.2_00072,Mixed
ERR10897580.sbin.2_00073,Mixed
ERR10897580.sbin.2_00075,Mixed
ERR10897580.sbin.2_00076,Mixed
ERR10897580.sbin.2_00077,Mixed
ERR10897580.sbin.2_00078,Mixed
ERR10897580.sbin.2_00079,Mixed
ERR10897580.sbin.2_00080,Mixed
ERR10897580.sbin.2_00081,Mixed
ERR10897580.sbin.2_00089,Mixed
ERR10897580.sbin.2_00092,Mixed
ERR10897580.sbin.2_00096,Mixed
ERR10897580.sbin.2_00097,Mixed
ERR10897580.sbin.2_00098,Mixed
ERR10897580.sbin.2_00102,VMGC
ERR10897580.sbin.2_00103,Mixed
ERR10897580.sbin.2_00104,Mixed
ERR10897580.sbin.2_00106,Mixed
ERR10897580.sbin.2_00107,Mixed
ERR10897580.sbin.2_00108,Mixed
ERR10897580.sbin.2_00109,Mixed
ERR10897580.sbin.2_00115,Mixed
ERR10897580.sbin.2_00117,Mixed
ERR10897580.sbin.2_00120,VMGC
ERR10897580.sbin.2_00121,VMGC
ERR10897580.sbin.2_00123,VMGC
ERR10897580.sbin.2_00124,VMGC
ERR10897580.sbin.2_00125,VMGC
ERR10897580.sbin.2_00126,VMGC
ERR10897580.sbin.2_00127,VMGC
ERR10897580.sbin.2_00130,Mixed
ERR10897580.sbin.2_00131,Mixed
ERR10897580.sbin.2_00132,Mixed
ERR10897580.sbin.2_00140,Mixed
ERR10897580.sbin.2_00146,Mixed
ERR10897580.sbin.2_00150,Mixed
ERR10897580.sbin.2_00153,Mixed
ERR10897580.sbin.2_00155,VMGC
ERR10897580.sbin.2_00157,Mixed
ERR10897580.sbin.2_00161,Mixed
ERR10897580.sbin.2_00165,Mixed
ERR10897580.sbin.2_00166,Mixed
ERR10897580.sbin.2_00167,Mixed
ERR10897580.sbin.2_00170,VMGC
ERR10897580.sbin.2_00171,VMGC
ERR10897580.sbin.2_00176,Mixed
ERR10897580.sbin.2_00181,Mixed
ERR10897580.sbin.2_00184,Mixed
ERR10897580.sbin.2_00187,Mixed
ERR10897580.sbin.2_00188,Mixed
ERR10897580.sbin.2_00189,Mixed
ERR10897580.sbin.2_00190,Mixed
ERR10897580.sbin.2_00192,Mixed
ERR10897580.sbin.2_00195,Mixed
ERR10897580.sbin.2_00198,Mixed
ERR10897580.sbin.2_00199,Mixed
ERR10897580.sbin.2_00200,Mixed
ERR10897580.sbin.2_00201,Mixed
ERR10897580.sbin.2_00202,Mixed
ERR10897580.sbin.2_00203,Mixed
ERR10897580.sbin.2_00207,Mixed
ERR10897580.sbin.2_00208,Mixed
ERR10897580.sbin.2_00209,Mixed
ERR10897580.sbin.2_00212,Mixed
ERR10897580.sbin.2_00213,Mixed
ERR10897580.sbin.2_00215,Mixed
ERR10897580.sbin.2_00217,Mixed
ERR10897580.sbin.2_00219,Mixed
ERR10897580.sbin.2_00220,Mixed
ERR10897580.sbin.2_00221,Mixed
ERR10897580.sbin.2_00223,Mixed
ERR10897580.sbin.2_00225,Mixed
ERR10897580.sbin.2_00226,VMGC
ERR10897580.sbin.2_00233,Mixed
ERR10897580.sbin.2_00234,Mixed
ERR10897580.sbin.2_00237,Mixed
ERR10897580.sbin.2_00238,Mixed
ERR10897580.sbin.2_00245,Mixed
ERR10897580.sbin.2_00249,Mixed
ERR10897580.sbin.2_00251,Mixed
ERR10897580.sbin.2_00253,VMGC
ERR10897580.sbin.2_00254,VMGC
ERR10897580.sbin.2_00255,VMGC
ERR10897580.sbin.2_00257,Mixed
ERR10897580.sbin.2_00260,Mixed
ERR10897580.sbin.2_00262,Mixed
ERR10897580.sbin.2_00263,Mixed
ERR10897580.sbin.2_00265,Mixed
ERR10897580.sbin.2_00267,Mixed
ERR10897580.sbin.2_00269,Mixed
ERR10897580.sbin.2_00272,Mixed
ERR10897580.sbin.2_00273,Mixed
ERR10897580.sbin.2_00274,Mixed
ERR10897580.sbin.2_00277,Mixed
ERR10897580.sbin.2_00279,Mixed
ERR10897580.sbin.2_00280,Mixed
ERR10897580.sbin.2_00284,Mixed
ERR10897580.sbin.2_00287,Mixed
ERR10897580.sbin.2_00289,Mixed
ERR10897580.sbin.2_00290,Mixed
ERR10897580.sbin.2_00294,Mixed
ERR10897580.sbin.2_00297,Mixed
ERR10897580.sbin.2_00299,Mixed
ERR10897580.sbin.2_00303,Mixed
ERR10897580.sbin.2_00305,Mixed
ERR10897580.sbin.2_00307,Mixed
ERR10897580.sbin.2_00308,Mixed
ERR10897580.sbin.2_00312,Mixed
ERR10897580.sbin.2_00313,Mixed
ERR10897580.sbin.2_00315,Mixed
ERR10897580.sbin.2_00316,Mixed
ERR10897580.sbin.2_00317,Mixed
ERR10897580.sbin.2_00318,Mixed
ERR10897580.sbin.2_00319,Mixed
ERR10897580.sbin.2_00320,Mixed
ERR10897580.sbin.2_00321,Mixed
ERR10897580.sbin.2_00323,Mixed
ERR10897580.sbin.2_00325,Mixed
ERR10897580.sbin.2_00328,Mixed
ERR10897580.sbin.2_00330,Mixed
ERR10897580.sbin.2_00331,Mixed
ERR10897580.sbin.2_00336,Mixed
ERR10897580.sbin.2_00337,Mixed
ERR10897580.sbin.2_00338,Mixed
ERR10897580.sbin.2_00339,Mixed
ERR10897580.sbin.2_00341,Mixed
ERR10897580.sbin.2_00342,Mixed
ERR10897580.sbin.2_00345,VMGC
ERR10897580.sbin.2_00346,VMGC
ERR10897580.sbin.2_00347,VMGC
ERR10897580.sbin.2_00349,VMGC
ERR10897580.sbin.2_00350,Mixed
ERR10897580.sbin.2_00351,Mixed
ERR10897580.sbin.2_00353,Mixed
ERR10897580.sbin.2_00355,Mixed
ERR10897580.sbin.2_00357,Mixed
ERR10897580.sbin.2_00358,Mixed
ERR10897580.sbin.2_00360,Mixed
ERR10897580.sbin.2_00361,Mixed
ERR10897580.sbin.2_00362,Mixed
ERR10897580.sbin.2_00363,Mixed
ERR10897580.sbin.2_00364,Mixed
ERR10897580.sbin.2_00365,Mixed
ERR10897580.sbin.2_00367,Mixed
ERR10897580.sbin.2_00370,Mixed
ERR10897580.sbin.2_00372,Mixed
ERR10897580.sbin.2_00376,Mixed
ERR10897580.sbin.2_00378,Mixed
ERR10897580.sbin.2_00390,Mixed
ERR10897580.sbin.2_00391,Mixed
ERR10897580.sbin.2_00392,Mixed
ERR10897580.sbin.2_00394,Mixed
ERR10897580.sbin.2_00398,Mixed
ERR10897580.sbin.2_00399,Mixed
ERR10897580.sbin.2_00402,Mixed
ERR10897580.sbin.2_00403,Mixed
ERR10897580.sbin.2_00406,Mixed
ERR10897580.sbin.2_00407,Mixed
ERR10897580.sbin.2_00415,Mixed
ERR10897580.sbin.2_00416,Mixed
ERR10897580.sbin.2_00421,Mixed
ERR10897580.sbin.2_00428,Mixed
ERR10897580.sbin.2_00431,Mixed
ERR10897580.sbin.2_00432,Mixed
ERR10897580.sbin.2_00434,VMGC
ERR10897580.sbin.2_00437,Mixed
ERR10897580.sbin.2_00438,Mixed
ERR10897580.sbin.2_00439,Mixed
ERR10897580.sbin.2_00440,Mixed
ERR10897580.sbin.2_00445,Mixed
ERR10897580.sbin.2_00446,Mixed
ERR10897580.sbin.2_00448,Mixed
ERR10897580.sbin.2_00449,Mixed
ERR10897580.sbin.2_00450,Mixed
ERR10897580.sbin.2_00451,Mixed
ERR10897580.sbin.2_00452,Mixed
ERR10897580.sbin.2_00456,Mixed
ERR10897580.sbin.2_00457,Mixed
ERR10897580.sbin.2_00459,Mixed
ERR10897580.sbin.2_00461,Mixed
ERR10897580.sbin.2_00463,Mixed
ERR10897580.sbin.2_00469,Mixed
ERR10897580.sbin.2_00471,Mixed
ERR10897580.sbin.2_00476,Mixed
ERR10897580.sbin.2_00477,Mixed
