genome	species	representative	genome_is_representative	fasta_path
GCF_001722255.1	235527	GCF_001722255.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_001722255.1.fa
GCF_001679135.1	945663	GCF_001679135.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_001679135.1.fa
GCF_001811805.1	235527	GCF_001722255.1	0	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_001811805.1.fa
GCF_009495705.1	429734	GCF_009495705.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_009495705.1.fa
GCF_000439915.2	611554	GCF_000439915.2	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_000439915.2.fa
GCF_013347005.1	166172	GCF_013347005.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_013347005.1.fa
GCF_900454505.1	978393	GCF_900454505.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_900454505.1.fa
GCF_022919055.1	166172	GCF_013347005.1	0	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_022919055.1.fa
SRR17284223.mbin.1	240891	SRR17284223.mbin.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/SRR17284223.mbin.1.fa
SRR10258542.mbin.1	240891	SRR17284223.mbin.1	0	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/SRR10258542.mbin.1.fa
GCF_001546855.1	214044	GCF_001546855.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_001546855.1.fa
GCF_023520795.1	204993	GCF_023520795.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_023520795.1.fa
MG329.mbin.1	240891	SRR17284223.mbin.1	0	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/MG329.mbin.1.fa
GCF_000148305.1	129724	GCF_000148305.1	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_000148305.1.fa
GCF_000025225.2	665829	GCF_000025225.2	1	/wynton/group/sirota/clairedubin/VMGC_db/VMGC_orig_files/VMGC_prokaryote_MAG/GCF_000025225.2.fa
