genome,species,SGB,species_name,Quality_score,Genome_quality,VMGC_representative,genome_is_VMGC_representative,representative,genome_is_representative
GCF_001722255.1,235527,SGB098,Corynebacterium amycolatum_A,100.0,near-complete,GCF_001722255.1,1,GCF_001722255.1,1
GCF_001679135.1,945663,SGB362,Haemophilus haemolyticus,100.0,near-complete,GCF_001679135.1,1,GCF_001679135.1,1
GCF_001811805.1,235527,SGB098,Corynebacterium amycolatum_A,100.0,near-complete,GCF_001722255.1,0,GCF_001722255.1,0
GCF_009495705.1,429734,SGB519,Streptococcus mitis_BM,99.99,near-complete,GCF_009495705.1,1,GCF_009495705.1,1
GCF_000439915.2,611554,SGB031,Lactobacillus gasseri,99.98,near-complete,GCF_000439915.2,1,GCF_000439915.2,1
GCF_013347005.1,166172,SGB118,Escherichia coli,99.95,near-complete,GCF_013347005.1,1,GCF_013347005.1,1
GCF_900454505.1,978393,SGB534,Pantoea agglomerans,99.95,near-complete,GCF_900454505.1,1,GCF_900454505.1,1
GCF_022919055.1,166172,SGB118,Escherichia coli,99.95,near-complete,GCF_013347005.1,0,GCF_013347005.1,0
SRR17284223.mbin.1,240891,SGB001,Lactobacillus iners,99.93,near-complete,SRR17284223.mbin.1,1,SRR17284223.mbin.1,1
SRR10258542.mbin.1,240891,SGB001,Lactobacillus iners,99.92,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_001546855.1,214044,SGB414,Megasphaera sp001546855,99.91,near-complete,GCF_001546855.1,1,GCF_001546855.1,1
GCF_023520795.1,204993,SGB522,Corynebacterium accolens,99.9,near-complete,GCF_023520795.1,1,GCF_023520795.1,1
MG329.mbin.1,240891,SGB001,Lactobacillus iners,99.9,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_000148305.1,129724,SGB060,Enterococcus faecalis,99.89,near-complete,GCF_000148305.1,1,GCF_000148305.1,1
GCF_000025225.2,665829,SGB034,Mageeibacillus indolicus (BVAB3),99.89,near-complete,GCF_000025225.2,1,GCF_000025225.2,1
MG160.sbin.15,382359,SGB022,Prevotella sp000758925,99.89,near-complete,MG160.sbin.15,1,MG160.sbin.15,1
GCF_001552955.1,715296,SGB504,Corynebacterium parakroppenstedtii,99.89,near-complete,GCF_001552955.1,1,GCF_001552955.1,1
P10709414.mbin.1,240891,SGB001,Lactobacillus iners,99.89,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR13167624.mbin.1,240891,SGB001,Lactobacillus iners,99.89,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR16470976.mbin.1,240891,SGB001,Lactobacillus iners,99.89,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_000175055.1,611554,SGB031,Lactobacillus gasseri,99.89,near-complete,GCF_000439915.2,0,GCF_000439915.2,0
GCF_002892425.1,665829,SGB034,Mageeibacillus indolicus (BVAB3),99.89,near-complete,GCF_000025225.2,0,GCF_000025225.2,0
MG238.mbin.3,900875,SGB025,Prevotella bivia,99.87,near-complete,MG238.mbin.3,1,MG238.mbin.3,1
GCF_001811815.1,344406,SGB104,Staphylococcus haemolyticus,99.87,near-complete,GCF_001811815.1,1,GCF_001811815.1,1
GCF_011029235.1,346038,SGB300,Ligilactobacillus salivarius,99.87,near-complete,GCF_011029235.1,1,GCF_011029235.1,1
MG291.mbin.12,240891,SGB001,Lactobacillus iners,99.87,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG380.mbin.6,240891,SGB001,Lactobacillus iners,99.87,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_900454275.1,641693,SGB147,Oligella urethralis,99.85,near-complete,GCF_900454275.1,1,GCF_900454275.1,1
GCF_021601385.1,720137,SGB521,Pseudomonas_E parasichuanensis,99.85,near-complete,GCF_021601385.1,1,GCF_021601385.1,1
GCF_000733145.1,665829,SGB034,Mageeibacillus indolicus (BVAB3),99.85,near-complete,GCF_000025225.2,0,GCF_000025225.2,0
GCF_020161895.1,235527,SGB098,Corynebacterium amycolatum_A,99.85,near-complete,GCF_001722255.1,0,GCF_001722255.1,0
SRR16471055.mbin.24,945663,SGB362,Haemophilus haemolyticus,99.85,near-complete,GCF_001679135.1,0,GCF_001679135.1,0
GCF_025191005.1,432849,SGB158,Lactobacillus johnsonii,99.84,near-complete,GCF_025191005.1,1,GCF_025191005.1,1
GCF_009738475.1,303548,SGB156,Streptococcus pyogenes,99.84,near-complete,GCF_009738475.1,1,GCF_009738475.1,1
MG146.sbin.2,240891,SGB001,Lactobacillus iners,99.84,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG442.mbin.11,240891,SGB001,Lactobacillus iners,99.84,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_900992445.1,303548,SGB156,Streptococcus pyogenes,99.84,near-complete,GCF_009738475.1,0,GCF_009738475.1,0
GCF_900992455.1,303548,SGB156,Streptococcus pyogenes,99.84,near-complete,GCF_009738475.1,0,GCF_009738475.1,0
ERR4421612.mbin.1,240891,SGB001,Lactobacillus iners,99.83,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG842.mbin.6,240891,SGB001,Lactobacillus iners,99.83,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG701.mbin.17,240891,SGB001,Lactobacillus iners,99.82,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_001812535.1,344406,SGB104,Staphylococcus haemolyticus,99.82,near-complete,GCF_001811815.1,0,GCF_001811815.1,0
MG1208.mbin.8,900875,SGB025,Prevotella bivia,99.81,near-complete,MG238.mbin.3,0,MG238.mbin.3,0
P10708891.mbin.16,738524,SGB066,Arcanobacterium_A sp000758825,99.8,near-complete,P10708891.mbin.16,1,P10708891.mbin.16,1
MG672.mbin.2,240891,SGB001,Lactobacillus iners,99.8,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_011058715.1,240891,SGB001,Lactobacillus iners,99.8,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR10258561.mbin.1,240891,SGB001,Lactobacillus iners,99.8,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_008368695.1,235527,SGB098,Corynebacterium amycolatum_A,99.8,near-complete,GCF_001722255.1,0,GCF_001722255.1,0
GCF_001809495.1,679715,SGB094,Staphylococcus epidermidis,99.79,near-complete,GCF_001809495.1,1,GCF_001809495.1,1
GCF_009769015.1,679715,SGB094,Staphylococcus epidermidis,99.79,near-complete,GCF_001809495.1,0,GCF_001809495.1,0
SAMN00087373.mbin.1,240891,SGB001,Lactobacillus iners,99.78,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR12830912.mbin.4,240891,SGB001,Lactobacillus iners,99.78,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
MG96.mbin.1,240891,SGB001,Lactobacillus iners,99.77,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
SRR11749265.mbin.1,240891,SGB001,Lactobacillus iners,99.77,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
GCF_001552765.1,101661,SGB209,Prevotella sp001552765,99.76,near-complete,GCF_001552765.1,1,GCF_001552765.1,1
GCF_000176995.2,611554,SGB031,Lactobacillus gasseri,99.76,near-complete,GCF_000439915.2,0,GCF_000439915.2,0
GCF_001552875.1,492904,SGB201,Citrobacter_B koseri,99.75,near-complete,GCF_001552875.1,1,GCF_001552875.1,1
GCF_024731085.1,809727,SGB117,Klebsiella pneumoniae,99.75,near-complete,GCF_024731085.1,1,GCF_024731085.1,1
GCF_900509245.1,264590,SGB400,Klebsiella quasipneumoniae,99.75,near-complete,GCF_900509245.1,1,GCF_900509245.1,1
ERR2244505.mbin.1,240891,SGB001,Lactobacillus iners,99.75,near-complete,SRR17284223.mbin.1,0,SRR17284223.mbin.1,0
