,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
27,GCA_001597815.1,Escherichia coli strain:CMCEC_NDM_1 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,E.coli blood stream infection,blood from patient with blood stream infection,,,Pathogen.cl,True,
31,GCA_001630825.1,Investigation of E. coli samples isolated from patients with Crohn's disease,,,Microbe sample from Escherichia coli,,homo sapiens,,,,intestine of patients with crohn's disease,,,"Microbe, viral or environmental",True,
32,GCA_001630845.1,Investigation of E. coli samples isolated from patients with Crohn's disease,,,Microbe sample from Escherichia coli,,homo sapiens,,,,intestine of patients with crohn's disease,,,"Microbe, viral or environmental",True,
33,GCA_001630855.1,Investigation of E. coli samples isolated from patients with Crohn's disease,,,Microbe sample from Escherichia coli,,homo sapiens,,,,intestine of patients with crohn's disease,,,"Microbe, viral or environmental",True,
34,GCA_001630925.1,Investigation of E. coli samples isolated from patients with Crohn's disease,,,Microbe sample from Escherichia coli,,homo sapiens,,,,intestine of patients with crohn's disease,,,"Microbe, viral or environmental",True,
35,GCA_001630965.1,Investigation of E. coli samples isolated from patients with Crohn's disease,,,Microbe sample from Escherichia coli,,homo sapiens,,,,intestine of patients with crohn's disease,,,"Microbe, viral or environmental",True,
36,GCA_001631005.1,Investigation of E. coli samples isolated from patients with Crohn's disease,,,Microbe sample from Escherichia coli,,homo sapiens,,,,intestine of patients with crohn's disease,,,"Microbe, viral or environmental",True,
45,GCA_002237285.1,Escherichia coli MEM genome sequencing and assembly,,,Escherichia coli MEM sample,,homo sapiens,,,,human feces of different individuals,,,"Microbe, viral or environmental",True,
131,GCA_009762475.1,"Complete nucleotide sequences of ESBL-producing E. coli recovered from food and healthy, gut-colonized humans in Cambodia",,,Pathogen: environmental/food/other sample from Escherichia coli,,,,,,chicken meat,,,Pathogen.env,True,
343,GCA_013315835.1,Escherichia coli Genome sequencing and assembly,,,Microbe sample from Escherichia coli,,homo sapiens,,,,rectal swab from healthy college student,,,"Microbe, viral or environmental",True,
344,GCA_013341375.1,Escherichia coli Genome sequencing and assembly,,,Microbe sample from Escherichia coli,,homo sapiens,,,,rectal swab from healthy college student,,,"Microbe, viral or environmental",True,
397,GCA_013694195.1,Escherichia coli strain:EC2033 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Escherichia coli,,homo sapiens,,,Blood stream infection,patient in hospital,,,Pathogen.cl,True,
407,GCA_014490155.1,"NDM-producing E. coli from Tahiti, France",,,Microbe sample from Escherichia coli,,homo sapiens,,,,reactal swab,,,"Microbe, viral or environmental",True,
466,GCA_900448955.1,NCTC_3000,,,NCTC10865,,human (infant),,,,diarrhoea,,,Generic,True,
560,GCF_000264215.1,Escherichia coli 541-1 genome sequencing,,,Generic sample from Escherichia coli 541-1,,homo sapiens,,,,ileum,,,Generic,True,
561,GCF_000264115.1,Escherichia coli 541-15 genome sequencing,,,Generic sample from Escherichia coli 541-15,,homo sapiens,,,,ileum,,,Generic,True,
563,GCF_000264155.1,Escherichia coli 75 genome sequencing,,,Generic sample from Escherichia coli 75,,homo sapiens,,,,ileum,,,Generic,True,
737,GCF_000258785.1,Escherichia coli NCCP15657 Genome sequencing and assembly,,,Sample from Escherichia coli NCCP15657,,homo sapiens,,,,fecal sample of a patient suffering from bloody diarrhea and abdominal pain,,,Generic,True,
743,GCF_000234605.1,Escherichia coli O103:H25 str. NIPH-11060424 Genome sequencing and assembly,,,Sample from Escherichia coli O103:H25 str. NIPH-11060424,,homo sapiens,,,,stool sample from patient with hemolytic uremic syndrome (hus),,,Generic,True,
774,GCA_000220805.2,Escherichia coli O104:H4 str. C227-11 Genome sequencing and assembly,,Pathogen sample from Escherichia coli O104:H4 str. C227-11,Pathogen: clinical or host-associated sample from Escherichia coli O104:H4 str. C227-11,,homo sapiens,,,missing,stool sample from a 64-year-old woman from hamburg who presented with bloody diarrhea and did not develop hemolytic uremic syndrome (hus),,,"Pathogen,Pathogen.cl",True,
775,GCA_000220805.2,Escherichia coli O104:H4 outbreak,,Pathogen sample from Escherichia coli O104:H4 str. C227-11,Pathogen: clinical or host-associated sample from Escherichia coli O104:H4 str. C227-11,,homo sapiens,,,missing,stool sample from a 64-year-old woman from hamburg who presented with bloody diarrhea and did not develop hemolytic uremic syndrome (hus),,,"Pathogen,Pathogen.cl",True,
777,GCF_000223015.1,Escherichia coli O104:H4 str. GOS1 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. GOS1,,homo sapiens,,,,stool sample from female patient with ehec symptoms (bloody diarrhea),,,Generic,True,
778,GCF_000223015.1,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. GOS1,,homo sapiens,,,,stool sample from female patient with ehec symptoms (bloody diarrhea),,,Generic,True,
779,GCF_000223035.1,Escherichia coli O104:H4 str. GOS2 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. GOS2,,homo sapiens,,,,stool sample from male patient with ehec associated symptoms (bloody diarrhea),,,Generic,True,
780,GCF_000223035.1,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. GOS2,,homo sapiens,,,,stool sample from male patient with ehec associated symptoms (bloody diarrhea),,,Generic,True,
783,GCF_000222505.1,Escherichia coli O104:H4 str. H112180282 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. H112180282,,homo sapiens,,,,stool sample from patient with hemolytic uremic syndrome (hus),,,Generic,True,
784,GCF_000222505.1,Escherichia coli O104:H4 outbreak,,,Sample from Escherichia coli O104:H4 str. H112180282,,homo sapiens,,,,stool sample from patient with hemolytic uremic syndrome (hus),,,Generic,True,
785,GCA_000222545.2,Escherichia coli O104:H4 str. H112180283 Genome sequencing and assembly,,,Sample from Escherichia coli O104:H4 str. H112180283,,homo sapiens,,,,patient with bloody diarrhea (bd),,,Generic,True,
